genome_accession	query	uniprot	refseq	evalue	target
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P26308	NP_996462	6.244000000000001e-25	AF-P26308-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	O18640	NP_001260218	1.139e-23	AF-O18640-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	O18640	NP_001285723	1.139e-23	AF-O18640-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	O18640	NP_477269	1.139e-23	AF-O18640-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P29829	NP_523720	2.035e-23	AF-P29829-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	O02195	NP_523478	1.711e-22	AF-O02195-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371-2	NP_001189293	1.245e-21	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371-2	NP_524514	1.245e-21	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371-2	NP_733133	1.245e-21	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371-2	NP_733134	1.245e-21	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371-2	NP_733135	1.245e-21	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371	NP_001189293	3.439e-21	AF-P16371-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371	NP_524514	3.439e-21	AF-P16371-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371	NP_733133	3.439e-21	AF-P16371-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371	NP_733134	3.439e-21	AF-P16371-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371	NP_733135	3.439e-21	AF-P16371-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	P16371	NP_996298	3.439e-21	AF-P16371-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	O62621	NP_524836	3.609e-21	AF-O62621-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9W328	NP_572572	1.469e-20	AF-Q9W328-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VCN9	NP_651136	1.8710000000000003e-20	AF-Q9VCN9-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VU68-2	NP_729891	3.3430000000000005e-20	AF-Q9VU68-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VU68	NP_648642	4.057e-20	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VU68	NP_729891	4.057e-20	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q7K1Y4	NP_610996	4.691e-20	AF-Q7K1Y4-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	O17468	NP_572401	3.25e-19	AF-O17468-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q8T088	NP_650111	3.729e-17	AF-Q8T088-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VUI3-2	NP_648729	1.671e-16	AF-Q9VUI3-2-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VUI3	NP_648728	1.932e-16	AF-Q9VUI3-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VUI3	NP_648729	1.932e-16	AF-Q9VUI3-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9V7P1	NP_611121	3.291e-16	AF-Q9V7P1-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VBU8	NP_001262950	1.434e-14	AF-Q9VBU8-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VBU8	NP_651360	1.434e-14	AF-Q9VBU8-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VBC4	NP_001287545	7.679e-10	AF-Q9VBC4-F1-model_v6
GCF_000001215.3	rank0007_ca6_proteinbinders_3501_A	Q9VBC4	NP_651499	7.679e-10	AF-Q9VBC4-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VPR4	NP_477294	2.5910000000000003e-30	AF-Q9VPR4-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9V3J8	NP_001245503	4.299e-27	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9V3J8	NP_524984	4.299e-27	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q7KNS3	NP_001246361	4.986e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q7KNS3	NP_477160	4.986e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q7KNS3	NP_788370	4.986e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q7KNS3	NP_995852	4.986e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VU65	NP_648640	8.105e-25	AF-Q9VU65-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P26308	NP_001303567	3.078e-24	AF-P26308-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P26308	NP_525090	3.078e-24	AF-P26308-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P26308	NP_996459	3.078e-24	AF-P26308-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P26308	NP_996460	3.078e-24	AF-P26308-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P26308	NP_996461	3.078e-24	AF-P26308-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P26308	NP_996462	3.078e-24	AF-P26308-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P29829	NP_523720	7.874e-24	AF-P29829-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	O02195	NP_523478	7.648999999999999e-23	AF-O02195-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	O18640	NP_001260218	2.9049999999999995e-22	AF-O18640-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	O18640	NP_001285723	2.9049999999999995e-22	AF-O18640-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	O18640	NP_477269	2.9049999999999995e-22	AF-O18640-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q1LZ08	NP_725018	3.797e-21	AF-Q1LZ08-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P49846	NP_476957	2.6100000000000003e-20	AF-P49846-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VU68-2	NP_729891	6.674000000000001e-20	AF-Q9VU68-2-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VU68	NP_648642	5.321e-19	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VU68	NP_729891	5.321e-19	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371-2	NP_001189293	5.874e-19	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371-2	NP_524514	5.874e-19	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371-2	NP_733133	5.874e-19	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371-2	NP_733134	5.874e-19	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371-2	NP_733135	5.874e-19	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	O62621	NP_524836	7.52e-19	AF-O62621-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371	NP_001189293	1.012e-18	AF-P16371-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371	NP_524514	1.012e-18	AF-P16371-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371	NP_733133	1.012e-18	AF-P16371-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371	NP_733134	1.012e-18	AF-P16371-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371	NP_733135	1.012e-18	AF-P16371-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	P16371	NP_996298	1.012e-18	AF-P16371-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9W328	NP_572572	3.153e-18	AF-Q9W328-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VCN9	NP_651136	5.995e-18	AF-Q9VCN9-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VPH8	NP_649209	5.021e-17	AF-Q9VPH8-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q8T088	NP_650111	3.1e-14	AF-Q8T088-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q960N3	NP_523494	1.435e-13	AF-Q960N3-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VBC4	NP_001287545	5.469e-08	AF-Q9VBC4-F1-model_v6
GCF_000001215.3	rank0017_ca6_proteinbinders_5713_A	Q9VBC4	NP_651499	5.469e-08	AF-Q9VBC4-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q7KNS3	NP_001246361	7.328e-25	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q7KNS3	NP_477160	7.328e-25	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q7KNS3	NP_788370	7.328e-25	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q7KNS3	NP_995852	7.328e-25	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q9VU65	NP_648640	5.338999999999999e-22	AF-Q9VU65-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q9V3J8	NP_001245503	3.778e-21	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q9V3J8	NP_524984	3.778e-21	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q9VPR4	NP_477294	5.145e-21	AF-Q9VPR4-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	P29829	NP_523720	5.2210000000000005e-20	AF-P29829-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q1LZ08	NP_725018	1.19e-19	AF-Q1LZ08-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q7K1Y4	NP_610996	3.89e-19	AF-Q7K1Y4-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q9W328	NP_572572	1.358e-17	AF-Q9W328-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	O62621	NP_524836	3.916e-15	AF-O62621-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	O17468	NP_572401	5.913e-15	AF-O17468-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q9VKQ3	NP_609452	1.155e-14	AF-Q9VKQ3-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q7K0Y1	NP_611270	1.596e-13	AF-Q7K0Y1-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	A1Z8D0	NP_610623	2.126e-11	AF-A1Z8D0-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	A1Z877	NP_610575	4.566e-08	AF-A1Z877-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	A1Z877	NP_995796	4.566e-08	AF-A1Z877-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	P98163	NP_511151	5.062e-08	AF-P98163-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	P98163	NP_996433	5.062e-08	AF-P98163-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q8SY41	NP_001245631	7.202e-05	AF-Q8SY41-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q8SY41	NP_001259463	7.202e-05	AF-Q8SY41-F1-model_v6
GCF_000001215.3	rank0036_ca6_proteinbinders_0274_A	Q8SY41	NP_727567	7.202e-05	AF-Q8SY41-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VPR4	NP_477294	1.751e-28	AF-Q9VPR4-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q7KNS3	NP_001246361	2.474e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q7KNS3	NP_477160	2.474e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q7KNS3	NP_788370	2.474e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q7KNS3	NP_995852	2.474e-27	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q95RJ9	NP_477329	1.7570000000000002e-26	AF-Q95RJ9-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9V3J8	NP_001245503	9.569e-26	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9V3J8	NP_524984	9.569e-26	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q1LZ08	NP_725018	4.447e-25	AF-Q1LZ08-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	O18640	NP_001260218	5.231e-23	AF-O18640-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	O18640	NP_001285723	5.231e-23	AF-O18640-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	O18640	NP_477269	5.231e-23	AF-O18640-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P29829	NP_523720	1.158e-22	AF-P29829-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P49846	NP_476957	6.3069999999999995e-22	AF-P49846-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VU65	NP_648640	7.011999999999999e-22	AF-Q9VU65-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	O02195	NP_523478	3.0900000000000003e-21	AF-O02195-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	O62621	NP_524836	2.712e-20	AF-O62621-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VU68-2	NP_729891	5.121e-20	AF-Q9VU68-2-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371-2	NP_001189293	5.693e-20	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371-2	NP_524514	5.693e-20	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371-2	NP_733133	5.693e-20	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371-2	NP_733134	5.693e-20	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371-2	NP_733135	5.693e-20	AF-P16371-2-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371	NP_001189293	1.02e-19	AF-P16371-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371	NP_524514	1.02e-19	AF-P16371-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371	NP_733133	1.02e-19	AF-P16371-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371	NP_733134	1.02e-19	AF-P16371-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371	NP_733135	1.02e-19	AF-P16371-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	P16371	NP_996298	1.02e-19	AF-P16371-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9W328	NP_572572	1.329e-19	AF-Q9W328-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VU68	NP_648642	2.14e-19	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VU68	NP_729891	2.14e-19	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q7K1Y4	NP_610996	3.635e-19	AF-Q7K1Y4-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VCN9	NP_651136	4.995e-19	AF-Q9VCN9-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VLN1	NP_609217	1.519e-18	AF-Q9VLN1-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	O17468	NP_572401	3.363e-18	AF-O17468-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q8T088	NP_650111	2.209e-16	AF-Q8T088-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9V7P1	NP_611121	2.731e-16	AF-Q9V7P1-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VPH8	NP_649209	3.036e-16	AF-Q9VPH8-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	A1Z8D0	NP_610623	9.498e-15	AF-A1Z8D0-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q960N3	NP_523494	4.907e-14	AF-Q960N3-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9W351	NP_001285049	1.008e-10	AF-Q9W351-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9W351	NP_572557	1.008e-10	AF-Q9W351-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VBC4	NP_001287545	2.909e-10	AF-Q9VBC4-F1-model_v6
GCF_000001215.3	rank0038_ca6_proteinbinders_6189_A	Q9VBC4	NP_651499	2.909e-10	AF-Q9VBC4-F1-model_v6
GCF_000001215.3	rank0043_ca6_proteinbinders_3708_A	Q9W0P5	NP_001246537	6.85e-06	AF-Q9W0P5-F1-model_v6
GCF_000001215.3	rank0043_ca6_proteinbinders_3708_A	Q9W0P5	NP_612044	6.85e-06	AF-Q9W0P5-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q7K1Y4	NP_610996	8.873e-19	AF-Q7K1Y4-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VU68	NP_648642	1.684e-14	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VU68	NP_729891	1.684e-14	AF-Q9VU68-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VKQ3	NP_609452	2.139e-14	AF-Q9VKQ3-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VU68-2	NP_729891	3.136e-14	AF-Q9VU68-2-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9W040	NP_647700	1.84e-13	AF-Q9W040-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VUI3-2	NP_648729	8.045e-12	AF-Q9VUI3-2-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VUI3	NP_648728	6.92e-11	AF-Q9VUI3-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VUI3	NP_648729	6.92e-11	AF-Q9VUI3-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VKK1	NP_609486	6.503e-09	AF-Q9VKK1-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VKK1	NP_723654	6.503e-09	AF-Q9VKK1-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	P98163	NP_511151	2.365e-08	AF-P98163-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	P98163	NP_996433	2.365e-08	AF-P98163-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	A1Z877	NP_610575	5.825e-07	AF-A1Z877-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	A1Z877	NP_995796	5.825e-07	AF-A1Z877-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q8SY41	NP_001245631	2.207e-05	AF-Q8SY41-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q8SY41	NP_001259463	2.207e-05	AF-Q8SY41-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q8SY41	NP_727567	2.207e-05	AF-Q8SY41-F1-model_v6
GCF_000001215.3	rank0044_ca6_proteinbinders_3205_A	Q9VHG1	NP_649877	3.393e-05	AF-Q9VHG1-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q7KNS3	NP_001246361	3.351e-24	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q7KNS3	NP_477160	3.351e-24	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q7KNS3	NP_788370	3.351e-24	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q7KNS3	NP_995852	3.351e-24	AF-Q7KNS3-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q9V3J8	NP_001245503	1.402e-23	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q9V3J8	NP_524984	1.402e-23	AF-Q9V3J8-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	O18640	NP_001260218	1.4269999999999998e-22	AF-O18640-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	O18640	NP_001285723	1.4269999999999998e-22	AF-O18640-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	O18640	NP_477269	1.4269999999999998e-22	AF-O18640-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q9VPR4	NP_477294	2.337e-22	AF-Q9VPR4-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q7K1Y4	NP_610996	3.644e-22	AF-Q7K1Y4-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q95RJ9	NP_477329	1.252e-21	AF-Q95RJ9-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q9VU65	NP_648640	2.896e-21	AF-Q9VU65-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	Q1LZ08	NP_725018	4.516e-21	AF-Q1LZ08-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P29829	NP_523720	5.327e-20	AF-P29829-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P49846	NP_476957	2.02e-19	AF-P49846-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P26308	NP_001303567	9.799e-19	AF-P26308-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P26308	NP_525090	9.799e-19	AF-P26308-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P26308	NP_996459	9.799e-19	AF-P26308-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P26308	NP_996460	9.799e-19	AF-P26308-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P26308	NP_996461	9.799e-19	AF-P26308-F1-model_v6
GCF_000001215.3	rank0055_ca6_proteinbinders_3455_A	P26308	NP_996462	9.799e-19	AF-P26308-F1-model_v6
