genome_accession	query	uniprot	refseq	evalue	target
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274527	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274528	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P09769	NP_001036194	9.686e-06	AF-P09769-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P09769	NP_001036212	9.686e-06	AF-P09769-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P09769	NP_005239	9.686e-06	AF-P09769-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62979	NP_001129064	4.819e-06	AF-P62979-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62979	NP_001170884	4.819e-06	AF-P62979-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62979	NP_002945	4.819e-06	AF-P62979-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62987	NP_001029102	5.495e-06	AF-P62987-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62987	NP_001307946	5.495e-06	AF-P62987-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62987	NP_001307947	5.495e-06	AF-P62987-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62987	NP_001307948	5.495e-06	AF-P62987-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62987	NP_001307949	5.495e-06	AF-P62987-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P62987	NP_003324	5.495e-06	AF-P62987-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG48	NP_066289	7.629e-06	AF-P0CG48-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG47	NP_001268645	8.146e-06	AF-P0CG47-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG47	NP_001268646	8.146e-06	AF-P0CG47-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG47	NP_001268647	8.146e-06	AF-P0CG47-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG47	NP_001268648	8.146e-06	AF-P0CG47-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG47	NP_001268649	8.146e-06	AF-P0CG47-F1-model_v6
GCF_000001405.26	rank00062_coA_proteinbinders_2870_A	P0CG47	NP_061828	8.146e-06	AF-P0CG47-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	NP_001357458	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	NP_002028	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	NP_694592	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	NP_694593	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_005266949	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_016866139	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_016866140	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_016866141	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_016866142	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274517	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274518	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274519	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274521	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274522	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274523	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274524	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274525	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274526	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274527	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241	XP_047274528	1.306e-09	AF-P06241-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	NP_005408	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	NP_938033	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_016883515	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296352	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296353	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296354	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296355	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296356	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296357	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296358	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296359	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296360	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296361	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296362	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296366	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296367	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296368	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931	XP_047296369	1.388e-09	AF-P12931-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07947	NP_005424	1.476e-09	AF-P07947-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07947	XP_016881449	1.476e-09	AF-P07947-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07947	XP_024307011	1.476e-09	AF-P07947-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07947	XP_024307012	1.476e-09	AF-P07947-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07947	XP_024307013	1.476e-09	AF-P07947-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07947	XP_024307014	1.476e-09	AF-P07947-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931-2	XP_016883515	1.569e-09	AF-P12931-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931-2	XP_047296352	1.569e-09	AF-P12931-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931-2	XP_047296353	1.569e-09	AF-P12931-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931-2	XP_047296354	1.569e-09	AF-P12931-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931-2	XP_047296355	1.569e-09	AF-P12931-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P12931-2	XP_047296356	1.569e-09	AF-P12931-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P09769	NP_001036194	3.923e-09	AF-P09769-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P09769	NP_001036212	3.923e-09	AF-P09769-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P09769	NP_005239	3.923e-09	AF-P09769-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-2	NP_694592	5.325e-09	AF-P06241-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-2	XP_047274524	5.325e-09	AF-P06241-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-2	XP_047274525	5.325e-09	AF-P06241-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-2	XP_047274526	5.325e-09	AF-P06241-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-2	XP_047274527	5.325e-09	AF-P06241-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06239	NP_001036236	6.397e-09	AF-P06239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06239	NP_005347	6.397e-09	AF-P06239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631-4	NP_001165601	2.454e-08	AF-P08631-4-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631-2	NP_001165600	3.33e-08	AF-P08631-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631-2	NP_001165604	3.33e-08	AF-P08631-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631	NP_001165600	3.33e-08	AF-P08631-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631	NP_001165601	3.33e-08	AF-P08631-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631	NP_001165602	3.33e-08	AF-P08631-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631	NP_001165604	3.33e-08	AF-P08631-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631	NP_002101	3.33e-08	AF-P08631-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P08631-3	NP_001165602	4.001e-08	AF-P08631-3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-3	NP_694593	4.806e-08	AF-P06241-3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-3	XP_005266949	4.806e-08	AF-P06241-3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P06241-3	XP_047274528	4.806e-08	AF-P06241-3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07948-2	NP_001104567	1.064e-07	AF-P07948-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07948	NP_001104567	1.064e-07	AF-P07948-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P07948	NP_002341	1.064e-07	AF-P07948-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q9H6Q3	NP_115590	1.959e-07	AF-Q9H6Q3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q9H6Q3	NP_778252	1.959e-07	AF-Q9H6Q3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	O60880	NP_001108409	3.396e-07	AF-O60880-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	O60880	NP_002342	3.396e-07	AF-O60880-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q15464	NP_003019	3.838e-07	AF-Q15464-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P51451	NP_001706	4.08e-07	AF-P51451-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P51451	XP_047278038	4.08e-07	AF-P51451-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P51451	XP_047278039	4.08e-07	AF-P51451-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	NP_001039021	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	NP_001039022	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	NP_001269893	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	NP_001269894	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	NP_006739	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	XP_047278063	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	XP_047278064	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	XP_047278065	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239	XP_047278066	4.337e-07	AF-Q13239-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239-5	NP_006739	4.61e-07	AF-Q13239-5-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239-5	XP_047278064	4.61e-07	AF-Q13239-5-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13882	NP_001243287	4.61e-07	AF-Q13882-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13882	NP_005966	4.61e-07	AF-Q13882-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q13239-3	NP_001039022	7.071e-07	AF-Q13239-3-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	NP_002022	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_005266937	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_005266938	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_011533956	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_011533957	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_016866134	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_047274510	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42685	XP_047274511	7.99e-07	AF-P42685-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q06124-1	NP_001317366	9.029e-07	AF-Q06124-1-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	O15357	NP_001427364	9.598e-07	AF-O15357-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	O15357	NP_001427365	9.598e-07	AF-O15357-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	O15357	NP_001558	9.598e-07	AF-O15357-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q06124	NP_001317366	9.598e-07	AF-Q06124-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q06124	NP_002825	9.598e-07	AF-Q06124-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q06124	NP_542168	9.598e-07	AF-Q06124-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42679	NP_001427506	1.02e-06	AF-P42679-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42679	NP_002369	1.02e-06	AF-P42679-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42679	NP_647611	1.02e-06	AF-P42679-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42679	NP_647612	1.02e-06	AF-P42679-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q7M4L6-2	XP_047289241	1.153e-06	AF-Q7M4L6-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	O14796	NP_444512	1.303e-06	AF-O14796-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q96JZ2	NP_001369346	1.472e-06	AF-Q96JZ2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q96JZ2	NP_116244	1.472e-06	AF-Q96JZ2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P16333-2	NP_001177725	1.472e-06	AF-P16333-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42684-8	NP_001129473	1.768e-06	AF-P42684-8-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q9H6Q3-2	NP_778252	1.768e-06	AF-Q9H6Q3-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q9UKW4	NP_001073343	1.88e-06	AF-Q9UKW4-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q9UKW4	NP_006104	1.88e-06	AF-Q9UKW4-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q9UKW4	XP_005270417	1.88e-06	AF-Q9UKW4-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q96IW2	NP_001358940	1.88e-06	AF-Q96IW2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	Q96IW2	NP_064594	1.88e-06	AF-Q96IW2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P42679-2	NP_002369	1.998e-06	AF-P42679-2-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P16885	NP_001412678	1.998e-06	AF-P16885-F1-model_v6
GCF_000001405.26	rank00065_coA_proteinbinders_4978_A	P16885	NP_001412679	1.998e-06	AF-P16885-F1-model_v6
