query,target,fident,alnlen,qcov,tcov,evalue,bits,uniprot
rank00026_coA_proteinbinders_0466_A,AF-Q3B4B1-F1-model_v6,0.139,265,0.989,0.972,5.808e-07,176,Q3B4B1
rank00026_coA_proteinbinders_0466_A,AF-Q91WS4-F1-model_v6,0.157,289,0.981,0.796,2.723e-06,176,Q91WS4
rank00026_coA_proteinbinders_0466_A,AF-B1WQF1-F1-model_v6,0.147,259,0.951,0.641,1.258e-06,176,B1WQF1
rank00026_coA_proteinbinders_0466_A,AF-F4K0E8-2-F1-model_v6,0.14,269,0.996,0.364,8.547e-07,176,F4K0E8-2
rank00026_coA_proteinbinders_0466_A,AF-O58878-F1-model_v6,0.171,267,0.996,0.976,6.854e-07,175,O58878
rank00026_coA_proteinbinders_0466_A,AF-Q8FTH8-F1-model_v6,0.163,261,0.974,0.29,2.184e-06,173,Q8FTH8
rank00026_coA_proteinbinders_0466_A,AF-Q7MVT7-F1-model_v6,0.12,239,0.873,0.411,2.439e-06,172,Q7MVT7
rank00026_coA_proteinbinders_0466_A,AF-A8MK92-F1-model_v6,0.159,254,0.948,0.967,1.19e-06,170,A8MK92
rank00026_coA_proteinbinders_0466_A,AF-F4K0E8-F1-model_v6,0.14,269,0.996,0.363,1.568e-06,170,F4K0E8
rank00026_coA_proteinbinders_0466_A,AF-P66921-F1-model_v6,0.148,267,0.996,0.981,2.439e-06,168,P66921
rank00026_coA_proteinbinders_0466_A,AF-A6L089-F1-model_v6,0.151,260,0.933,0.423,1.126e-06,168,A6L089
rank00026_coA_proteinbinders_0466_A,AF-Q893R0-F1-model_v6,0.14,259,0.966,0.971,1.657e-06,167,Q893R0
rank00026_coA_proteinbinders_0466_A,AF-Q5RF32-F1-model_v6,0.15,284,0.94,0.782,4.998e-06,166,Q5RF32
rank00026_coA_proteinbinders_0466_A,AF-A8M9N4-F1-model_v6,0.146,257,0.959,0.971,2.577e-06,165,A8M9N4
rank00026_coA_proteinbinders_0466_A,AF-B3ED41-F1-model_v6,0.129,262,0.978,0.967,1.484e-06,165,B3ED41
rank00026_coA_proteinbinders_0466_A,AF-A8MJ87-F1-model_v6,0.162,252,0.94,0.922,2.308e-06,165,A8MJ87
rank00026_coA_proteinbinders_0466_A,AF-B8FUD4-F1-model_v6,0.147,259,0.966,0.986,1.751e-06,164,B8FUD4
rank00026_coA_proteinbinders_0466_A,AF-Q8R806-F1-model_v6,0.174,264,0.985,0.958,2.067e-06,164,Q8R806
rank00026_coA_proteinbinders_0466_A,AF-Q32LQ4-F1-model_v6,0.134,291,0.94,0.728,8.212e-06,164,Q32LQ4
rank00026_coA_proteinbinders_0466_A,AF-Q823I7-F1-model_v6,0.113,249,0.881,0.411,2.308e-06,164,Q823I7
rank00026_coA_proteinbinders_0466_A,AF-Q5M8Z0-F1-model_v6,0.162,269,0.896,0.667,6.959e-06,163,Q5M8Z0
rank00026_coA_proteinbinders_0466_A,AF-Q9UZQ5-F1-model_v6,0.164,267,0.996,0.976,1.329e-06,162,Q9UZQ5
rank00026_coA_proteinbinders_0466_A,AF-P66920-F1-model_v6,0.148,267,0.996,0.981,4.729e-06,162,P66920
rank00026_coA_proteinbinders_0466_A,AF-Q830K5-F1-model_v6,0.125,265,0.989,0.976,4.998e-06,162,Q830K5
rank00026_coA_proteinbinders_0466_A,AF-Q9Z8H0-F1-model_v6,0.118,267,0.985,0.436,6.959e-06,162,Q9Z8H0
rank00026_coA_proteinbinders_0466_A,AF-Q88SD8-F1-model_v6,0.15,252,0.94,0.929,3.792e-06,161,Q88SD8
rank00026_coA_proteinbinders_0466_A,AF-Q5I597-F1-model_v6,0.15,293,0.94,0.72,8.678e-06,161,Q5I597
rank00026_coA_proteinbinders_0466_A,AF-A7Z2G6-F1-model_v6,0.125,255,0.951,0.941,4.008e-06,160,A7Z2G6
rank00026_coA_proteinbinders_0466_A,AF-B0U2A9-F1-model_v6,0.125,257,0.959,0.954,3.396e-06,160,B0U2A9
rank00026_coA_proteinbinders_0466_A,AF-Q5M731-F1-model_v6,0.147,259,0.966,0.398,9.171e-06,160,Q5M731
rank00026_coA_proteinbinders_0466_A,AF-A0Q2A0-F1-model_v6,0.149,263,0.981,0.985,2.878e-06,159,A0Q2A0
rank00026_coA_proteinbinders_0466_A,AF-Q0AFV0-F1-model_v6,0.132,268,1.0,0.972,3.589e-06,159,Q0AFV0
rank00026_coA_proteinbinders_0466_A,AF-Q2KUS6-F1-model_v6,0.143,256,0.955,0.949,7.354e-06,159,Q2KUS6
rank00026_coA_proteinbinders_0466_A,AF-B0T3H6-F1-model_v6,0.149,262,0.978,0.992,1.19e-06,159,B0T3H6
rank00026_coA_proteinbinders_0466_A,AF-Q5XGM3-F1-model_v6,0.165,294,0.933,0.73,9.691e-06,159,Q5XGM3
rank00026_coA_proteinbinders_0466_A,AF-O48881-F1-model_v6,0.18,259,0.966,0.398,4.998e-06,159,O48881
rank00026_coA_proteinbinders_0466_A,AF-O84060-F1-model_v6,0.11,263,0.974,0.437,7.772e-06,159,O84060
rank00026_coA_proteinbinders_0466_A,AF-Q97BE8-F1-model_v6,0.133,268,1.0,0.991,2.723e-06,158,Q97BE8
rank00026_coA_proteinbinders_0466_A,AF-Q97LQ9-F1-model_v6,0.138,258,0.963,0.957,3.792e-06,158,Q97LQ9
rank00026_coA_proteinbinders_0466_A,AF-A9WDL8-F1-model_v6,0.166,264,0.985,0.963,5.897e-06,158,A9WDL8
rank00026_coA_proteinbinders_0466_A,AF-C5A366-F1-model_v6,0.196,251,0.937,0.978,8.678e-06,157,C5A366
rank00026_coA_proteinbinders_0466_A,AF-B3W783-F1-model_v6,0.155,266,0.993,0.958,3.396e-06,156,B3W783
rank00026_coA_proteinbinders_0466_A,AF-A5UUL3-F1-model_v6,0.145,263,0.981,0.881,4.998e-06,156,A5UUL3
rank00026_coA_proteinbinders_0466_A,AF-Q9PKH8-F1-model_v6,0.128,276,0.959,0.791,5.581e-06,156,Q9PKH8
rank00026_coA_proteinbinders_0466_A,AF-A9AZD9-F1-model_v6,0.149,262,0.978,0.99,3.792e-06,155,A9AZD9
rank00026_coA_proteinbinders_0466_A,AF-Q03CB2-F1-model_v6,0.135,255,0.951,0.934,7.772e-06,155,Q03CB2
rank00026_coA_proteinbinders_0466_A,AF-A7NRF7-F1-model_v6,0.185,256,0.955,0.904,2.577e-06,155,A7NRF7
rank00026_coA_proteinbinders_0466_A,AF-P61413-F1-model_v6,0.132,257,0.959,0.947,6.586e-06,154,P61413
rank00026_coA_proteinbinders_0466_A,AF-A6M1W6-F1-model_v6,0.147,265,0.989,0.967,4.235e-06,154,A6M1W6
rank00026_coA_proteinbinders_0466_A,AF-Q5V0G6-F1-model_v6,0.155,268,1.0,1.0,9.691e-06,154,Q5V0G6
rank00026_coA_proteinbinders_0466_A,AF-Q0W1L8-F1-model_v6,0.144,258,0.963,0.958,5.897e-06,154,Q0W1L8
rank00026_coA_proteinbinders_0466_A,AF-Q7NFA4-F1-model_v6,0.115,257,0.951,0.649,8.212e-06,154,Q7NFA4
rank00026_coA_proteinbinders_0466_A,AF-B0BB44-F1-model_v6,0.107,263,0.963,0.437,5.581e-06,154,B0BB44
rank00026_coA_proteinbinders_0466_A,AF-Q2Y5Q6-F1-model_v6,0.146,252,0.94,0.842,8.212e-06,153,Q2Y5Q6
rank00026_coA_proteinbinders_0466_A,AF-A6TEF4-F1-model_v6,0.164,257,0.959,0.898,2.577e-06,153,A6TEF4
rank00026_coA_proteinbinders_0466_A,AF-A5FJJ1-F1-model_v6,0.132,253,0.944,0.953,9.691e-06,152,A5FJJ1
rank00026_coA_proteinbinders_0466_A,AF-Q82UQ7-F1-model_v6,0.159,264,0.985,0.939,8.212e-06,152,Q82UQ7
rank00026_coA_proteinbinders_0466_A,AF-Q3IP34-F1-model_v6,0.173,251,0.937,0.944,4.008e-06,151,Q3IP34
rank00026_coA_proteinbinders_0466_A,AF-A4IPP2-F1-model_v6,0.146,254,0.948,0.914,6.959e-06,151,A4IPP2
rank00026_coA_proteinbinders_0466_A,AF-Q3K6C1-F1-model_v6,0.184,255,0.951,0.971,3.589e-06,150,Q3K6C1
rank00026_coA_proteinbinders_0466_A,AF-Q1RBA3-F1-model_v6,0.132,251,0.937,0.929,8.212e-06,150,Q1RBA3
rank00026_coA_proteinbinders_0466_A,AF-Q4ZNA1-F1-model_v6,0.151,257,0.959,0.995,2.439e-06,148,Q4ZNA1
rank00026_coA_proteinbinders_0466_A,AF-Q57PS8-F1-model_v6,0.14,251,0.937,0.929,7.772e-06,148,Q57PS8
rank00026_coA_proteinbinders_0466_A,AF-A9N159-F1-model_v6,0.142,251,0.937,0.929,8.678e-06,148,A9N159
rank00026_coA_proteinbinders_0466_A,AF-Q48DP2-F1-model_v6,0.157,255,0.951,0.98,3.792e-06,147,Q48DP2
rank00026_coA_proteinbinders_0466_A,AF-P58687-F1-model_v6,0.135,251,0.937,0.929,9.691e-06,147,P58687
rank00026_coA_proteinbinders_0466_A,AF-Q49W41-F1-model_v6,0.111,250,0.933,0.979,8.212e-06,146,Q49W41
rank00026_coA_proteinbinders_0466_A,AF-B4TUS2-F1-model_v6,0.138,251,0.937,0.929,9.171e-06,146,B4TUS2
rank00026_coA_proteinbinders_0466_A,AF-A1TYG6-F1-model_v6,0.149,255,0.951,0.905,6.959e-06,145,A1TYG6
rank00026_coA_proteinbinders_0466_A,AF-O50580-F1-model_v6,0.127,290,0.993,1.0,8.678e-06,145,O50580
rank00026_coA_proteinbinders_0466_A,AF-Q9PKY3-F1-model_v6,0.112,271,0.978,0.451,6.232e-06,144,Q9PKY3
rank00026_coA_proteinbinders_0466_A,AF-Q1I4H6-F1-model_v6,0.187,255,0.951,0.971,9.171e-06,142,Q1I4H6
rank00026_coA_proteinbinders_0466_A,AF-Q12UJ8-F1-model_v6,0.134,251,0.937,0.94,4.475e-06,141,Q12UJ8
rank00026_coA_proteinbinders_0466_A,AF-Q5N1J0-F1-model_v6,0.157,238,0.888,0.884,8.678e-06,139,Q5N1J0
rank00026_coA_proteinbinders_0466_A,AF-Q87VY6-F1-model_v6,0.155,255,0.951,0.98,2.878e-06,133,Q87VY6
rank00026_coA_proteinbinders_0466_A,AF-A6VG83-F1-model_v6,0.15,257,0.959,0.947,5.281e-06,124,A6VG83
rank00026_coA_proteinbinders_0466_A,AF-Q7M9N9-F1-model_v6,0.185,261,0.974,0.963,5.581e-06,124,Q7M9N9
rank00026_coA_proteinbinders_0466_A,AF-B7NDC5-F1-model_v6,0.118,257,0.959,0.892,6.586e-06,121,B7NDC5
rank00026_coA_proteinbinders_0466_A,AF-B1XGU9-F1-model_v6,0.115,257,0.959,0.892,9.171e-06,119,B1XGU9
rank00026_coA_proteinbinders_0466_A,AF-Q1R6K0-F1-model_v6,0.118,257,0.959,0.892,6.959e-06,118,Q1R6K0
rank00026_coA_proteinbinders_0466_A,AF-A8A4V3-F1-model_v6,0.118,257,0.959,0.892,9.691e-06,118,A8A4V3
rank00026_coA_proteinbinders_0466_A,AF-P0AB75-F1-model_v6,0.122,257,0.959,0.892,8.678e-06,115,P0AB75
rank00026_coA_proteinbinders_0466_A,AF-A1AG46-F1-model_v6,0.122,257,0.959,0.892,8.678e-06,115,A1AG46
rank00026_coA_proteinbinders_0466_A,AF-Q59754-F1-model_v6,0.109,343,0.974,0.382,9.171e-06,113,Q59754
rank00058_coA_proteinbinders_3553_A,AF-P08088-F1-model_v6,0.201,181,0.779,0.658,1.433e-06,168,P08088
rank00058_coA_proteinbinders_3553_A,AF-P0DX40-F1-model_v6,0.143,245,0.985,0.857,4.181e-06,160,P0DX40
rank00058_coA_proteinbinders_3553_A,AF-P14802-F1-model_v6,0.165,211,0.954,0.887,3.498e-06,152,P14802
rank00058_coA_proteinbinders_3553_A,AF-Q9LBG2-F1-model_v6,0.191,205,0.928,0.768,5.305e-06,144,Q9LBG2
rank00058_coA_proteinbinders_3553_A,AF-W6QIM3-F1-model_v6,0.17,232,0.928,0.889,7.144e-06,141,W6QIM3
rank00058_coA_proteinbinders_3553_A,AF-Q9L9F7-F1-model_v6,0.175,234,0.887,0.959,9.064e-06,140,Q9L9F7
rank00058_coA_proteinbinders_3553_A,AF-O14351-F1-model_v6,0.186,203,0.944,0.822,7.582e-06,133,O14351
rank00059_coA_proteinbinders_2908_A,AF-P47204-F1-model_v6,0.172,193,0.965,0.467,3.553e-06,156,P47204
rank00059_coA_proteinbinders_2908_A,AF-O51929-F1-model_v6,0.178,193,0.965,0.479,8.846e-06,148,O51929
rank00059_coA_proteinbinders_2908_A,AF-Q9ALA4-F1-model_v6,0.179,193,0.965,0.477,9.401e-06,148,Q9ALA4
rank00062_coA_proteinbinders_2870_A,AF-P68203-F1-model_v6,0.493,76,0.962,0.455,3.957e-06,199,P68203
rank00062_coA_proteinbinders_2870_A,AF-P62982-F1-model_v6,0.493,76,0.962,0.455,3.957e-06,199,P62982
rank00062_coA_proteinbinders_2870_A,AF-P0C276-F1-model_v6,0.476,79,1.0,0.578,2.85e-06,196,P0C276
rank00062_coA_proteinbinders_2870_A,AF-P62983-F1-model_v6,0.482,78,0.987,0.468,3.044e-06,196,P62983
rank00062_coA_proteinbinders_2870_A,AF-P62978-F1-model_v6,0.482,78,0.987,0.468,3.044e-06,196,P62978
rank00062_coA_proteinbinders_2870_A,AF-P62979-F1-model_v6,0.493,76,0.962,0.455,4.819e-06,196,P62979
rank00062_coA_proteinbinders_2870_A,AF-P62975-F1-model_v6,0.482,78,0.987,0.961,4.226e-06,195,P62975
rank00062_coA_proteinbinders_2870_A,AF-P0C8R3-F1-model_v6,0.47,78,0.987,0.487,3.957e-06,195,P0C8R3
rank00062_coA_proteinbinders_2870_A,AF-P79781-F1-model_v6,0.482,78,0.987,0.468,3.471e-06,195,P79781
rank00062_coA_proteinbinders_2870_A,AF-P0CG66-F1-model_v6,0.545,70,0.886,0.115,9.919e-06,195,P0CG66
rank00062_coA_proteinbinders_2870_A,AF-P0DXC2-F1-model_v6,0.493,76,0.962,0.555,7.144e-06,194,P0DXC2
rank00062_coA_proteinbinders_2870_A,AF-G1SK22-F1-model_v6,0.482,78,0.987,0.468,3.706e-06,194,G1SK22
rank00062_coA_proteinbinders_2870_A,AF-P15357-F1-model_v6,0.493,76,0.962,0.455,5.867e-06,194,P15357
rank00062_coA_proteinbinders_2870_A,AF-P68197-F1-model_v6,0.476,79,1.0,0.974,4.226e-06,193,P68197
rank00062_coA_proteinbinders_2870_A,AF-Q865C5-F1-model_v6,0.482,78,0.987,0.961,5.145e-06,193,Q865C5
rank00062_coA_proteinbinders_2870_A,AF-Q8SWD4-F1-model_v6,0.47,78,0.987,0.948,5.495e-06,193,Q8SWD4
rank00062_coA_proteinbinders_2870_A,AF-P0CH08-F1-model_v6,0.465,79,1.0,0.578,3.706e-06,193,P0CH08
rank00062_coA_proteinbinders_2870_A,AF-P68205-F1-model_v6,0.476,79,1.0,0.578,3.957e-06,193,P68205
rank00062_coA_proteinbinders_2870_A,AF-P46575-F1-model_v6,0.465,79,1.0,0.574,3.957e-06,193,P46575
rank00062_coA_proteinbinders_2870_A,AF-P29504-F1-model_v6,0.482,78,0.987,0.471,4.819e-06,193,P29504
rank00062_coA_proteinbinders_2870_A,AF-P63050-F1-model_v6,0.476,79,1.0,0.578,4.513e-06,192,P63050
rank00062_coA_proteinbinders_2870_A,AF-P62987-F1-model_v6,0.482,78,0.987,0.57,5.495e-06,192,P62987
rank00062_coA_proteinbinders_2870_A,AF-P05759-F1-model_v6,0.47,78,0.987,0.48,5.495e-06,192,P05759
rank00062_coA_proteinbinders_2870_A,AF-P59271-F1-model_v6,0.493,76,0.962,0.455,7.629e-06,192,P59271
rank00062_coA_proteinbinders_2870_A,AF-P62992-F1-model_v6,0.482,78,0.987,0.468,4.513e-06,192,P62992
rank00062_coA_proteinbinders_2870_A,AF-P62980-F1-model_v6,0.493,76,0.962,0.455,6.69e-06,192,P62980
rank00062_coA_proteinbinders_2870_A,AF-P59232-F1-model_v6,0.493,76,0.962,0.452,6.69e-06,192,P59232
rank00062_coA_proteinbinders_2870_A,AF-P69313-F1-model_v6,0.476,79,1.0,0.961,5.145e-06,191,P69313
rank00062_coA_proteinbinders_2870_A,AF-P0C273-F1-model_v6,0.476,79,1.0,0.578,4.819e-06,191,P0C273
rank00062_coA_proteinbinders_2870_A,AF-P49633-F1-model_v6,0.476,79,1.0,0.578,4.513e-06,191,P49633
rank00062_coA_proteinbinders_2870_A,AF-P0C016-F1-model_v6,0.481,76,0.962,0.473,9.289e-06,191,P0C016
rank00062_coA_proteinbinders_2870_A,AF-P68200-F1-model_v6,0.493,76,0.962,0.455,8.699e-06,191,P68200
rank00062_coA_proteinbinders_2870_A,AF-P0C275-F1-model_v6,0.476,79,1.0,0.578,5.495e-06,190,P0C275
rank00062_coA_proteinbinders_2870_A,AF-P14797-F1-model_v6,0.447,78,0.987,0.474,6.265e-06,190,P14797
rank00062_coA_proteinbinders_2870_A,AF-P68202-F1-model_v6,0.482,78,0.987,0.471,6.69e-06,190,P68202
rank00062_coA_proteinbinders_2870_A,AF-P69317-F1-model_v6,0.476,79,1.0,0.961,5.867e-06,189,P69317
rank00062_coA_proteinbinders_2870_A,AF-P0CH07-F1-model_v6,0.465,79,1.0,0.578,5.867e-06,189,P0CH07
rank00062_coA_proteinbinders_2870_A,AF-P0CH10-F1-model_v6,0.476,79,1.0,0.578,5.867e-06,189,P0CH10
rank00062_coA_proteinbinders_2870_A,AF-P0CH11-F1-model_v6,0.476,79,1.0,0.578,5.867e-06,189,P0CH11
rank00062_coA_proteinbinders_2870_A,AF-Q42202-F1-model_v6,0.476,79,1.0,0.578,5.867e-06,188,Q42202
rank00062_coA_proteinbinders_2870_A,AF-P62984-F1-model_v6,0.476,79,1.0,0.578,6.265e-06,188,P62984
rank00062_coA_proteinbinders_2870_A,AF-P0CH09-F1-model_v6,0.465,79,1.0,0.578,5.867e-06,188,P0CH09
rank00062_coA_proteinbinders_2870_A,AF-P51423-F1-model_v6,0.476,79,1.0,0.578,5.867e-06,188,P51423
rank00062_coA_proteinbinders_2870_A,AF-P14799-F1-model_v6,0.47,78,0.987,0.474,7.144e-06,188,P14799
rank00062_coA_proteinbinders_2870_A,AF-Q9ARZ9-F1-model_v6,0.482,78,0.987,0.471,6.265e-06,188,Q9ARZ9
rank00062_coA_proteinbinders_2870_A,AF-P59233-F1-model_v6,0.482,78,0.987,0.465,6.265e-06,188,P59233
rank00062_coA_proteinbinders_2870_A,AF-P19848-F1-model_v6,0.47,78,0.987,0.961,8.146e-06,187,P19848
rank00062_coA_proteinbinders_2870_A,AF-P69201-F1-model_v6,0.465,79,1.0,0.578,7.144e-06,187,P69201
rank00062_coA_proteinbinders_2870_A,AF-P18101-F1-model_v6,0.476,79,1.0,0.578,6.69e-06,187,P18101
rank00062_coA_proteinbinders_2870_A,AF-P63048-F1-model_v6,0.476,79,1.0,0.578,6.69e-06,187,P63048
rank00062_coA_proteinbinders_2870_A,AF-P62986-F1-model_v6,0.476,79,1.0,0.578,6.69e-06,187,P62986
rank00062_coA_proteinbinders_2870_A,AF-P14795-F1-model_v6,0.465,79,1.0,0.578,7.144e-06,187,P14795
rank00062_coA_proteinbinders_2870_A,AF-P0C224-F1-model_v6,0.465,79,1.0,0.578,6.69e-06,187,P0C224
rank00062_coA_proteinbinders_2870_A,AF-P47905-F1-model_v6,0.493,76,0.962,0.458,9.919e-06,187,P47905
rank00062_coA_proteinbinders_2870_A,AF-P62981-F1-model_v6,0.493,76,0.962,0.455,9.919e-06,187,P62981
rank00062_coA_proteinbinders_2870_A,AF-B9DHA6-F1-model_v6,0.476,79,1.0,0.578,7.144e-06,186,B9DHA6
rank00062_coA_proteinbinders_2870_A,AF-P0CH06-F1-model_v6,0.465,79,1.0,0.578,7.144e-06,186,P0CH06
rank00062_coA_proteinbinders_2870_A,AF-P0CH34-F1-model_v6,0.476,79,1.0,0.574,6.69e-06,186,P0CH34
rank00062_coA_proteinbinders_2870_A,AF-P0DJ25-F1-model_v6,0.453,79,1.0,0.574,7.144e-06,186,P0DJ25
rank00062_coA_proteinbinders_2870_A,AF-Q5A109-F1-model_v6,0.47,78,0.987,0.483,8.699e-06,186,Q5A109
rank00062_coA_proteinbinders_2870_A,AF-P0CG86-F1-model_v6,0.482,78,0.987,0.471,7.629e-06,186,P0CG86
rank00062_coA_proteinbinders_2870_A,AF-P69310-F1-model_v6,0.482,78,0.987,0.961,9.919e-06,185,P69310
rank00062_coA_proteinbinders_2870_A,AF-P49636-F1-model_v6,0.476,79,1.0,0.578,8.146e-06,185,P49636
rank00062_coA_proteinbinders_2870_A,AF-P63052-F1-model_v6,0.476,79,1.0,0.578,8.146e-06,185,P63052
rank00062_coA_proteinbinders_2870_A,AF-P33190-F1-model_v6,0.453,79,1.0,0.574,8.146e-06,185,P33190
rank00062_coA_proteinbinders_2870_A,AF-P69061-F1-model_v6,0.47,78,0.987,0.487,9.919e-06,185,P69061
rank00062_coA_proteinbinders_2870_A,AF-P0CG87-F1-model_v6,0.482,78,0.987,0.471,9.919e-06,185,P0CG87
rank00062_coA_proteinbinders_2870_A,AF-P21899-F1-model_v6,0.465,79,1.0,0.578,9.289e-06,184,P21899
