query,target,fident,alnlen,qcov,tcov,evalue,bits,uniprot
rank0001_ca6_proteinbinders_3013_A,AF-A9A8N5-F1-model_v6,0.079,282,0.889,0.786,9.161e-05,91,A9A8N5
rank0003_ca6_proteinbinders_3532_A,AF-B3QFA1-F1-model_v6,0.139,194,0.945,0.975,4.049e-05,121,B3QFA1
rank0003_ca6_proteinbinders_3532_A,AF-Q130C0-F1-model_v6,0.157,194,0.945,0.975,8.377e-05,116,Q130C0
rank0003_ca6_proteinbinders_3532_A,AF-B6JBZ6-F1-model_v6,0.17,194,0.945,0.975,6.188e-05,115,B6JBZ6
rank0003_ca6_proteinbinders_3532_A,AF-Q6P5L8-F1-model_v6,0.15,185,0.825,0.446,3.178e-05,113,Q6P5L8
rank0005_ca6_proteinbinders_3089_A,AF-Q9KJF2-F1-model_v6,0.145,237,0.904,0.952,9.677e-06,125,Q9KJF2
rank0005_ca6_proteinbinders_3089_A,AF-P43168-F1-model_v6,0.178,229,0.974,0.912,1.948e-05,113,P43168
rank0005_ca6_proteinbinders_3089_A,AF-P9WGS3-F1-model_v6,0.187,261,0.983,0.441,7.897e-05,111,P9WGS3
rank0005_ca6_proteinbinders_3089_A,AF-Q9L9F7-F1-model_v6,0.164,238,0.908,0.975,4.953e-05,110,Q9L9F7
rank0005_ca6_proteinbinders_3089_A,AF-Q9LH76-F1-model_v6,0.112,315,0.983,0.474,8.371e-05,95,Q9LH76
rank0006_ca6_proteinbinders_3829_A,AF-B8M9K8-F1-model_v6,0.128,241,0.968,0.906,6.519e-05,106,B8M9K8
rank0007_ca6_proteinbinders_3501_A,AF-Q8YRI1-F1-model_v6,0.525,337,0.98,0.216,3.168e-37,1730,Q8YRI1
rank0007_ca6_proteinbinders_3501_A,AF-Q5BK30-F1-model_v6,0.355,342,0.994,0.807,1.662e-33,1556,Q5BK30
rank0007_ca6_proteinbinders_3501_A,AF-Q6P2Y2-F1-model_v6,0.355,342,0.994,0.807,9.491e-33,1551,Q6P2Y2
rank0007_ca6_proteinbinders_3501_A,AF-Q5FWQ6-F1-model_v6,0.355,342,0.994,0.807,9.042e-33,1551,Q5FWQ6
rank0007_ca6_proteinbinders_3501_A,AF-Q0P593-F1-model_v6,0.361,342,0.994,0.807,9.491e-33,1549,Q0P593
rank0007_ca6_proteinbinders_3501_A,AF-Q4R8E7-F1-model_v6,0.358,342,0.994,0.807,3.7839999999999996e-33,1538,Q4R8E7
rank0007_ca6_proteinbinders_3501_A,AF-Q3Y8L7-F1-model_v6,0.373,342,0.994,0.751,1.869e-32,1538,Q3Y8L7
rank0007_ca6_proteinbinders_3501_A,AF-D3Z7A5-F1-model_v6,0.355,342,0.994,0.807,3.273e-33,1536,D3Z7A5
rank0007_ca6_proteinbinders_3501_A,AF-Q8N136-F1-model_v6,0.361,342,0.994,0.807,7.451e-33,1526,Q8N136
rank0007_ca6_proteinbinders_3501_A,AF-Q1LV15-F1-model_v6,0.364,342,0.994,0.807,2.161e-32,1509,Q1LV15
rank0007_ca6_proteinbinders_3501_A,AF-Q5RFF8-F1-model_v6,0.353,384,0.997,0.792,2.622e-32,1430,Q5RFF8
rank0007_ca6_proteinbinders_3501_A,AF-G0SC29-F1-model_v6,0.376,384,0.997,0.743,1.731e-31,1402,G0SC29
rank0007_ca6_proteinbinders_3501_A,AF-Q58D20-F1-model_v6,0.358,384,0.997,0.79,5.529e-31,1381,Q58D20
rank0007_ca6_proteinbinders_3501_A,AF-Q9NVX2-F1-model_v6,0.356,384,0.997,0.792,8.144e-31,1374,Q9NVX2
rank0007_ca6_proteinbinders_3501_A,AF-Q7ZXK9-F1-model_v6,0.363,384,0.997,0.807,2.042e-30,1350,Q7ZXK9
rank0007_ca6_proteinbinders_3501_A,AF-P49695-F1-model_v6,0.45,342,0.994,0.391,2.059e-32,1343,P49695
rank0007_ca6_proteinbinders_3501_A,AF-Q9VPR4-F1-model_v6,0.34,382,0.997,0.783,8.310000000000001e-30,1339,Q9VPR4
rank0007_ca6_proteinbinders_3501_A,AF-Q8VEJ4-F1-model_v6,0.361,384,0.997,0.792,2.361e-30,1333,Q8VEJ4
rank0007_ca6_proteinbinders_3501_A,AF-O74855-F1-model_v6,0.335,381,0.997,0.759,3.008e-30,1333,O74855
rank0007_ca6_proteinbinders_3501_A,AF-P25382-F1-model_v6,0.341,383,0.994,0.744,1.7169999999999998e-29,1328,P25382
rank0007_ca6_proteinbinders_3501_A,AF-Q8YTC2-F1-model_v6,0.457,368,0.971,0.293,4.7610000000000006e-36,1310,Q8YTC2
rank0007_ca6_proteinbinders_3501_A,AF-Q00808-F1-model_v6,0.462,377,0.997,0.278,6.188000000000001e-35,1273,Q00808
rank0007_ca6_proteinbinders_3501_A,AF-Q9FLX9-F1-model_v6,0.332,373,0.988,0.789,1.157e-27,1237,Q9FLX9
rank0007_ca6_proteinbinders_3501_A,AF-Q5RCG7-F1-model_v6,0.251,349,0.994,0.804,1.5910000000000002e-28,1233,Q5RCG7
rank0007_ca6_proteinbinders_3501_A,AF-Q7YR70-F1-model_v6,0.251,349,0.994,0.802,1.67e-28,1233,Q7YR70
rank0007_ca6_proteinbinders_3501_A,AF-Q13685-F1-model_v6,0.251,349,0.994,0.804,2.232e-28,1226,Q13685
rank0007_ca6_proteinbinders_3501_A,AF-Q3SZK1-F1-model_v6,0.254,349,0.994,0.804,3.287e-28,1221,Q3SZK1
rank0007_ca6_proteinbinders_3501_A,AF-O13982-F1-model_v6,0.256,349,1.0,0.875,1.001e-27,1208,O13982
rank0007_ca6_proteinbinders_3501_A,AF-Q86TI4-F1-model_v6,0.29,341,0.991,0.896,6.293e-27,1196,Q86TI4
rank0007_ca6_proteinbinders_3501_A,AF-Q9QXE7-F1-model_v6,0.336,352,0.997,0.668,9.083e-28,1186,Q9QXE7
rank0007_ca6_proteinbinders_3501_A,AF-Q9BZK7-F1-model_v6,0.342,350,0.983,0.681,1.623e-27,1185,Q9BZK7
rank0007_ca6_proteinbinders_3501_A,AF-Q95RJ9-F1-model_v6,0.335,349,0.983,0.499,1.623e-27,1176,Q95RJ9
rank0007_ca6_proteinbinders_3501_A,AF-Q9BQ87-F1-model_v6,0.345,351,0.994,0.672,2.391e-27,1175,Q9BQ87
rank0007_ca6_proteinbinders_3501_A,AF-Q4R8H1-F1-model_v6,0.337,352,0.997,0.619,2.901e-27,1165,Q4R8H1
rank0007_ca6_proteinbinders_3501_A,AF-C4Q0P6-F1-model_v6,0.352,339,0.985,0.724,1.08e-28,1164,C4Q0P6
rank0007_ca6_proteinbinders_3501_A,AF-Q7T0P4-F1-model_v6,0.334,344,1.0,0.667,5.5980000000000005e-28,1150,Q7T0P4
rank0007_ca6_proteinbinders_3501_A,AF-Q803D2-F1-model_v6,0.345,339,0.985,0.754,8.079e-29,1147,Q803D2
rank0007_ca6_proteinbinders_3501_A,AF-Q8BHJ5-F1-model_v6,0.339,350,0.983,0.681,4.941e-27,1146,Q8BHJ5
rank0007_ca6_proteinbinders_3501_A,AF-B5X3C4-F1-model_v6,0.328,339,0.985,0.754,2.026e-28,1139,B5X3C4
rank0007_ca6_proteinbinders_3501_A,AF-Q8BHD1-F1-model_v6,0.346,342,0.994,0.613,8.653e-28,1136,Q8BHD1
rank0007_ca6_proteinbinders_3501_A,AF-Q5RD06-F1-model_v6,0.344,344,1.0,0.652,8.653e-28,1135,Q5RD06
rank0007_ca6_proteinbinders_3501_A,AF-F6ZT52-F1-model_v6,0.366,343,0.997,0.623,1.157e-27,1135,F6ZT52
rank0007_ca6_proteinbinders_3501_A,AF-C3XVT5-F1-model_v6,0.355,339,0.985,0.756,1.67e-28,1134,C3XVT5
rank0007_ca6_proteinbinders_3501_A,AF-Q28I85-F1-model_v6,0.383,297,0.863,0.655,1.97e-27,1134,Q28I85
rank0007_ca6_proteinbinders_3501_A,AF-P63005-F1-model_v6,0.339,339,0.985,0.754,1.931e-28,1133,P63005
rank0007_ca6_proteinbinders_3501_A,AF-Q5IS43-F1-model_v6,0.337,339,0.985,0.754,2.127e-28,1133,Q5IS43
rank0007_ca6_proteinbinders_3501_A,AF-Q9PTR5-F1-model_v6,0.337,339,0.985,0.754,2.232e-28,1132,Q9PTR5
rank0007_ca6_proteinbinders_3501_A,AF-O60907-2-F1-model_v6,0.331,352,0.997,0.669,8.83e-27,1128,O60907-2
rank0007_ca6_proteinbinders_3501_A,AF-P43033-F1-model_v6,0.339,339,0.985,0.754,3.132e-28,1127,P43033
rank0007_ca6_proteinbinders_3501_A,AF-P43034-F1-model_v6,0.339,339,0.985,0.754,3.132e-28,1126,P43034
rank0007_ca6_proteinbinders_3501_A,AF-Q8HXX0-F1-model_v6,0.339,339,0.985,0.754,3.622e-28,1124,Q8HXX0
rank0007_ca6_proteinbinders_3501_A,AF-Q8YV57-F1-model_v6,0.363,451,0.98,0.268,3.056e-34,1124,Q8YV57
rank0007_ca6_proteinbinders_3501_A,AF-Q9GL51-F1-model_v6,0.337,339,0.985,0.754,3.801e-28,1123,Q9GL51
rank0007_ca6_proteinbinders_3501_A,AF-A7S338-F1-model_v6,0.341,339,0.985,0.758,4.187e-28,1119,A7S338
rank0007_ca6_proteinbinders_3501_A,AF-B0LSW3-F1-model_v6,0.339,339,0.985,0.754,4.842e-28,1119,B0LSW3
rank0007_ca6_proteinbinders_3501_A,AF-Q4RJN5-F1-model_v6,0.334,339,0.985,0.754,5.082000000000001e-28,1118,Q4RJN5
rank0007_ca6_proteinbinders_3501_A,AF-Q6GPC6-F1-model_v6,0.341,350,0.983,0.67,2.561e-26,1118,Q6GPC6
rank0007_ca6_proteinbinders_3501_A,AF-P63004-F1-model_v6,0.339,339,0.985,0.754,5.334e-28,1117,P63004
rank0007_ca6_proteinbinders_3501_A,AF-Q8JZX3-3-F1-model_v6,0.391,293,0.852,0.801,1.1250000000000001e-26,1115,Q8JZX3-3
rank0007_ca6_proteinbinders_3501_A,AF-Q8JZX3-F1-model_v6,0.37,342,0.994,0.721,5.996e-27,1111,Q8JZX3
rank0007_ca6_proteinbinders_3501_A,AF-B7PS00-F1-model_v6,0.337,339,0.985,0.759,6.794e-28,1111,B7PS00
rank0007_ca6_proteinbinders_3501_A,AF-A2CEH0-F1-model_v6,0.325,343,0.997,0.598,6.293e-27,1110,A2CEH0
rank0007_ca6_proteinbinders_3501_A,AF-Q5REG7-F1-model_v6,0.337,339,0.985,0.754,9.083e-28,1109,Q5REG7
rank0007_ca6_proteinbinders_3501_A,AF-Q17N69-F1-model_v6,0.344,339,0.985,0.758,1.214e-27,1107,Q17N69
rank0007_ca6_proteinbinders_3501_A,AF-Q8I0F4-F1-model_v6,0.344,341,0.991,0.768,2.232e-28,1107,Q8I0F4
rank0007_ca6_proteinbinders_3501_A,AF-Q8NBT0-2-F1-model_v6,0.364,342,0.994,0.813,8.413e-27,1106,Q8NBT0-2
rank0007_ca6_proteinbinders_3501_A,AF-P74442-F1-model_v6,0.337,344,1.0,0.243,3.355e-27,1105,P74442
rank0007_ca6_proteinbinders_3501_A,AF-A0CH87-F1-model_v6,0.303,344,1.0,0.769,2.1699999999999998e-27,1103,A0CH87
rank0007_ca6_proteinbinders_3501_A,AF-Q4V7Z1-F1-model_v6,0.35,344,1.0,0.628,1.4330000000000002e-26,1102,Q4V7Z1
rank0007_ca6_proteinbinders_3501_A,AF-Q9V3J8-F1-model_v6,0.365,342,0.994,0.825,5.7129999999999996e-27,1099,Q9V3J8
rank0007_ca6_proteinbinders_3501_A,AF-A0DB19-F1-model_v6,0.306,344,1.0,0.769,2.1699999999999998e-27,1099,A0DB19
rank0007_ca6_proteinbinders_3501_A,AF-Q8NBT0-F1-model_v6,0.348,343,0.997,0.72,8.016e-27,1099,Q8NBT0
rank0007_ca6_proteinbinders_3501_A,AF-Q9VU65-F1-model_v6,0.323,342,0.994,0.747,8.016e-27,1097,Q9VU65
rank0007_ca6_proteinbinders_3501_A,AF-F6ZT52-2-F1-model_v6,0.366,343,0.997,0.773,9.728e-27,1096,F6ZT52-2
rank0007_ca6_proteinbinders_3501_A,AF-D3BUN1-F1-model_v6,0.336,341,0.991,0.772,4.613e-28,1096,D3BUN1
rank0007_ca6_proteinbinders_3501_A,AF-Q8JZX3-2-F1-model_v6,0.388,296,0.86,0.807,2.561e-26,1095,Q8JZX3-2
rank0007_ca6_proteinbinders_3501_A,AF-B3S4I5-F1-model_v6,0.337,339,0.985,0.756,3.196e-27,1090,B3S4I5
rank0007_ca6_proteinbinders_3501_A,AF-Q4V8C4-F1-model_v6,0.351,344,1.0,0.915,1.1810000000000001e-26,1089,Q4V8C4
rank0007_ca6_proteinbinders_3501_A,AF-B5X3Z6-F1-model_v6,0.36,339,0.985,0.754,1.7520000000000001e-28,1089,B5X3Z6
rank0007_ca6_proteinbinders_3501_A,AF-D3TLL6-F1-model_v6,0.327,339,0.985,0.754,3.196e-27,1088,D3TLL6
rank0007_ca6_proteinbinders_3501_A,AF-Q5RE95-F1-model_v6,0.367,342,0.994,0.903,2.324e-26,1087,Q5RE95
rank0007_ca6_proteinbinders_3501_A,AF-A8X8C6-F1-model_v6,0.343,341,0.991,0.807,1.6570000000000002e-26,1085,A8X8C6
rank0007_ca6_proteinbinders_3501_A,AF-Q90ZL4-F1-model_v6,0.362,339,0.985,0.754,2.127e-28,1085,Q90ZL4
rank0007_ca6_proteinbinders_3501_A,AF-Q86TI4-1-F1-model_v6,0.217,452,0.991,0.921,1.9e-24,1084,Q86TI4-1
rank0007_ca6_proteinbinders_3501_A,AF-O22212-F1-model_v6,0.344,288,0.837,0.507,5.829e-26,1084,O22212
rank0007_ca6_proteinbinders_3501_A,AF-Q86VZ2-F1-model_v6,0.368,342,0.994,0.903,1.739e-26,1083,Q86VZ2
rank0007_ca6_proteinbinders_3501_A,AF-Q2TBP4-F1-model_v6,0.383,297,0.863,0.71,4.8040000000000003e-26,1083,Q2TBP4
rank0007_ca6_proteinbinders_3501_A,AF-Q8TC44-F1-model_v6,0.397,294,0.855,0.598,2.961e-26,1083,Q8TC44
rank0007_ca6_proteinbinders_3501_A,AF-Q7ZVF0-F1-model_v6,0.316,344,1.0,0.707,2.2150000000000003e-26,1082,Q7ZVF0
rank0007_ca6_proteinbinders_3501_A,AF-Q9D7H2-F1-model_v6,0.35,342,0.994,0.909,1.915e-26,1080,Q9D7H2
rank0007_ca6_proteinbinders_3501_A,AF-B3MEY6-F1-model_v6,0.344,339,0.985,0.754,5.186e-27,1079,B3MEY6
rank0007_ca6_proteinbinders_3501_A,AF-Q9M2Z2-F1-model_v6,0.339,342,0.994,0.95,2.2150000000000003e-26,1075,Q9M2Z2
rank0007_ca6_proteinbinders_3501_A,AF-Q8K450-4-F1-model_v6,0.284,341,0.991,0.935,5.554000000000001e-26,1072,Q8K450-4
rank0007_ca6_proteinbinders_3501_A,AF-Q6NZH4-F1-model_v6,0.362,339,0.985,0.754,4.613e-28,1072,Q6NZH4
rank0007_ca6_proteinbinders_3501_A,AF-Q09715-F1-model_v6,0.341,342,0.994,0.498,1.338e-27,1072,Q09715
rank0007_ca6_proteinbinders_3501_A,AF-Q7T394-F1-model_v6,0.366,339,0.985,0.754,6.473e-28,1071,Q7T394
rank0007_ca6_proteinbinders_3501_A,AF-D3ZW91-F1-model_v6,0.397,294,0.855,0.6,4.36e-26,1071,D3ZW91
rank0007_ca6_proteinbinders_3501_A,AF-Q17963-F1-model_v6,0.325,342,0.994,0.793,1.264e-25,1067,Q17963
rank0007_ca6_proteinbinders_3501_A,AF-Q8N0X2-F1-model_v6,0.277,342,0.994,0.461,7.793000000000001e-26,1067,Q8N0X2
rank0007_ca6_proteinbinders_3501_A,AF-B4GAJ1-F1-model_v6,0.376,339,0.985,0.754,1.157e-27,1064,B4GAJ1
rank0007_ca6_proteinbinders_3501_A,AF-P61965-F1-model_v6,0.382,342,0.994,0.892,4.485e-27,1062,P61965
rank0007_ca6_proteinbinders_3501_A,AF-B4MY65-F1-model_v6,0.344,339,0.985,0.758,1.578e-26,1062,B4MY65
rank0007_ca6_proteinbinders_3501_A,AF-P93107-F1-model_v6,0.328,341,0.991,0.48,5.0420000000000004e-26,1062,P93107
rank0007_ca6_proteinbinders_3501_A,AF-Q6RI45-5-F1-model_v6,0.283,374,0.997,0.27,5.145e-25,1058,Q6RI45-5
rank0007_ca6_proteinbinders_3501_A,AF-Q9UUG8-F1-model_v6,0.344,342,0.994,0.512,8.245e-28,1057,Q9UUG8
rank0007_ca6_proteinbinders_3501_A,AF-Q9SY00-F1-model_v6,0.365,298,0.866,0.892,2.688e-26,1055,Q9SY00
rank0007_ca6_proteinbinders_3501_A,AF-Q2KIG2-F1-model_v6,0.382,342,0.994,0.892,6.933e-27,1054,Q2KIG2
rank0007_ca6_proteinbinders_3501_A,AF-Q291L9-F1-model_v6,0.37,339,0.985,0.754,2.391e-27,1053,Q291L9
rank0007_ca6_proteinbinders_3501_A,AF-O43172-F1-model_v6,0.276,343,0.997,0.579,2.11e-26,1053,O43172
rank0007_ca6_proteinbinders_3501_A,AF-Q23256-F1-model_v6,0.289,342,0.994,0.595,7.425000000000001e-26,1050,Q23256
rank0007_ca6_proteinbinders_3501_A,AF-Q9DAW6-F1-model_v6,0.269,344,1.0,0.582,7.793000000000001e-26,1050,Q9DAW6
rank0007_ca6_proteinbinders_3501_A,AF-B4JWA1-F1-model_v6,0.37,339,0.985,0.754,4.707e-27,1044,B4JWA1
rank0007_ca6_proteinbinders_3501_A,AF-Q498M4-F1-model_v6,0.382,342,0.994,0.892,1.3650000000000002e-26,1043,Q498M4
rank0007_ca6_proteinbinders_3501_A,AF-A9V790-F1-model_v6,0.316,338,0.983,0.756,2.01e-26,1042,A9V790
rank0007_ca6_proteinbinders_3501_A,AF-Q5M786-F1-model_v6,0.379,342,0.994,0.892,1.578e-26,1041,Q5M786
rank0007_ca6_proteinbinders_3501_A,AF-Q6RI45-2-F1-model_v6,0.284,369,0.983,0.226,4.902e-25,1041,Q6RI45-2
rank0007_ca6_proteinbinders_3501_A,AF-P61964-F1-model_v6,0.382,342,0.994,0.892,1.739e-26,1039,P61964
rank0007_ca6_proteinbinders_3501_A,AF-Q9NDC9-F1-model_v6,0.309,339,0.985,0.755,7.793000000000001e-26,1039,Q9NDC9
rank0007_ca6_proteinbinders_3501_A,AF-B4P6P9-F1-model_v6,0.364,339,0.985,0.754,6.605e-27,1035,B4P6P9
rank0007_ca6_proteinbinders_3501_A,AF-Q3MHE2-F1-model_v6,0.267,343,0.997,0.58,2.0510000000000002e-25,1035,Q3MHE2
rank0007_ca6_proteinbinders_3501_A,AF-P0CY34-F1-model_v6,0.326,341,0.991,0.621,1.1810000000000001e-26,1033,P0CY34
rank0007_ca6_proteinbinders_3501_A,AF-B4LQ21-F1-model_v6,0.37,339,0.985,0.754,1.0210000000000002e-26,1032,B4LQ21
rank0007_ca6_proteinbinders_3501_A,AF-A8NEG8-F1-model_v6,0.317,340,0.988,0.772,4.071e-27,1030,A8NEG8
rank0007_ca6_proteinbinders_3501_A,AF-O43172-2-F1-model_v6,0.266,344,1.0,0.582,3.021e-25,1030,O43172-2
rank0007_ca6_proteinbinders_3501_A,AF-Q7KNS3-F1-model_v6,0.364,339,0.985,0.754,1.0210000000000002e-26,1029,Q7KNS3
rank0007_ca6_proteinbinders_3501_A,AF-Q54KL5-F1-model_v6,0.335,342,0.994,0.893,4.902e-25,1027,Q54KL5
rank0007_ca6_proteinbinders_3501_A,AF-P20053-F1-model_v6,0.269,293,0.846,0.63,5.6680000000000005e-25,1026,P20053
rank0007_ca6_proteinbinders_3501_A,AF-Q9D994-F1-model_v6,0.367,326,0.948,0.914,3.4230000000000003e-26,1025,Q9D994
rank0007_ca6_proteinbinders_3501_A,AF-B4QHG6-F1-model_v6,0.364,339,0.985,0.754,1.6570000000000002e-26,1024,B4QHG6
rank0007_ca6_proteinbinders_3501_A,AF-Q9USN3-F1-model_v6,0.266,477,0.968,0.614,5.643e-30,1023,Q9USN3
rank0007_ca6_proteinbinders_3501_A,AF-B4KT48-F1-model_v6,0.367,339,0.985,0.754,1.578e-26,1022,B4KT48
rank0007_ca6_proteinbinders_3501_A,AF-B4HSL3-F1-model_v6,0.333,339,0.985,0.754,2.2150000000000003e-26,1022,B4HSL3
rank0007_ca6_proteinbinders_3501_A,AF-Q5GIS3-F1-model_v6,0.261,342,0.994,0.871,1.774e-25,1021,Q5GIS3
rank0007_ca6_proteinbinders_3501_A,AF-Q61ZF6-F1-model_v6,0.27,342,0.994,0.874,2.0510000000000002e-25,1019,Q61ZF6
rank0007_ca6_proteinbinders_3501_A,AF-Q5ZJH5-F1-model_v6,0.311,333,0.968,0.948,8.180000000000001e-26,1016,Q5ZJH5
rank0007_ca6_proteinbinders_3501_A,AF-P0CS42-F1-model_v6,0.33,340,0.988,0.778,8.413e-27,1015,P0CS42
rank0007_ca6_proteinbinders_3501_A,AF-C4YFX2-F1-model_v6,0.33,341,0.991,0.622,1.3010000000000002e-26,1015,C4YFX2
rank0007_ca6_proteinbinders_3501_A,AF-Q5NVD0-F1-model_v6,0.276,343,0.997,0.58,1.955e-25,1015,Q5NVD0
rank0007_ca6_proteinbinders_3501_A,AF-Q6P5M2-F1-model_v6,0.307,344,1.0,0.987,1.862e-25,1013,Q6P5M2
rank0007_ca6_proteinbinders_3501_A,AF-Q93847-F1-model_v6,0.31,344,1.0,0.759,9.651000000000001e-25,1013,Q93847
rank0007_ca6_proteinbinders_3501_A,AF-P17343-F1-model_v6,0.303,295,0.858,0.859,3.171e-25,1012,P17343
rank0007_ca6_proteinbinders_3501_A,AF-B3NPW0-F1-model_v6,0.37,339,0.985,0.754,3.108e-26,1011,B3NPW0
rank0007_ca6_proteinbinders_3501_A,AF-Q6PBD6-F1-model_v6,0.352,292,0.849,0.951,5.145e-25,1009,Q6PBD6
rank0007_ca6_proteinbinders_3501_A,AF-Q5R5W8-F1-model_v6,0.276,342,0.994,0.874,2.0510000000000002e-25,1008,Q5R5W8
rank0007_ca6_proteinbinders_3501_A,AF-P62880-F1-model_v6,0.267,342,0.994,0.874,2.0510000000000002e-25,1007,P62880
rank0007_ca6_proteinbinders_3501_A,AF-P0CS43-F1-model_v6,0.333,340,0.988,0.778,8.413e-27,1007,P0CS43
rank0007_ca6_proteinbinders_3501_A,AF-A8XZJ9-F1-model_v6,0.31,341,0.991,0.751,5.6680000000000005e-25,1004,A8XZJ9
rank0007_ca6_proteinbinders_3501_A,AF-Q6GMD2-F1-model_v6,0.345,292,0.849,0.951,4.902e-25,1001,Q6GMD2
rank0007_ca6_proteinbinders_3501_A,AF-Q6PH57-F1-model_v6,0.284,342,0.994,0.874,2.613e-25,999,Q6PH57
rank0007_ca6_proteinbinders_3501_A,AF-P11017-F1-model_v6,0.267,342,0.994,0.874,3.667e-25,998,P11017
