query,target,evalue,lddt,pdb_id,chain,SCIENTIFIC_NAME
rank0001_ca6_proteinbinders_3013_A,1p0k-assembly1_A,2.884e-06,0.3574,1p0k,A,Bacillus subtilis
rank0001_ca6_proteinbinders_3013_A,2bof-assembly1_X,0.6054,0.3564,2bof,X,Thermobifida fusca
rank0001_ca6_proteinbinders_3013_A,2gft-assembly1_A,7.725e-05,0.356,2gft,A,Bacillus licheniformis
rank0001_ca6_proteinbinders_3013_A,8for-assembly2_B,0.01676,0.3559,8for,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,3voc-assembly1_A,0.01488,0.3538,3voc,A,Paenibacillus polymyxa
rank0001_ca6_proteinbinders_3013_A,5dbu-assembly3_F,0.001282,0.3513,5dbu,F,Streptococcus suis GZ1
rank0001_ca6_proteinbinders_3013_A,6t4v-assembly1_C,2.481e-05,0.3498,6t4v,C,Pseudomonas aeruginosa PAO1
rank0001_ca6_proteinbinders_3013_A,8g3h-assembly1_A,0.0003443,0.348,8g3h,A,Thermus filiformis
rank0001_ca6_proteinbinders_3013_A,4mg4-assembly2_F,0.0004642,0.3477,4mg4,F,Burkholderia cenocepacia J2315
rank0001_ca6_proteinbinders_3013_A,7cj9-assembly4_G,0.0004119,0.3476,7cj9,G,Methylomonas sp. DH-1
rank0001_ca6_proteinbinders_3013_A,1ka9-assembly1_F,0.000168,0.3471,1ka9,F,Thermus thermophilus
rank0001_ca6_proteinbinders_3013_A,1ub3-assembly1_A,0.00279,0.3469,1ub3,A,Thermus thermophilus
rank0001_ca6_proteinbinders_3013_A,4fx8-assembly1_B,0.0001583,0.3468,4fx8,B,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,6q62-assembly2_D,0.0001894,0.3467,6q62,D,Xanthomonas albilineans
rank0001_ca6_proteinbinders_3013_A,6ru0-assembly1_A,0.006068,0.346,6ru0,A,Thermotoga maritima
rank0001_ca6_proteinbinders_3013_A,6w6a-assembly1_A,9.811e-05,0.3451,6w6a,A,Stenotrophomonas maltophilia K279a
rank0001_ca6_proteinbinders_3013_A,3li0-assembly1_B,0.0002405,0.344,3li0,B,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,4h41-assembly1_B,0.002475,0.3434,4h41,B,Bacteroides thetaiotaomicron VPI-5482
rank0001_ca6_proteinbinders_3013_A,3npx-assembly2_B,0.002628,0.3423,3npx,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,2otd-assembly4_D,0.05882,0.3423,2otd,D,Shigella flexneri
rank0001_ca6_proteinbinders_3013_A,4rc1-assembly1_D,0.0002266,0.3417,4rc1,D,Methanocaldococcus jannaschii DSM 2661
rank0001_ca6_proteinbinders_3013_A,4xzw-assembly1_A,0.004239,0.3417,4xzw,A,uncultured bacterium
rank0001_ca6_proteinbinders_3013_A,3lhv-assembly1_A,6.457e-05,0.3416,3lhv,A,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,3eb2-assembly1_C,0.001445,0.3409,3eb2,C,Rhodopseudomonas palustris
rank0001_ca6_proteinbinders_3013_A,4h41-assembly1_C,0.02006,0.3409,4h41,C,Bacteroides thetaiotaomicron VPI-5482
rank0001_ca6_proteinbinders_3013_A,3q2d-assembly2_B,0.004777,0.3404,3q2d,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,1gpw-assembly2_C,0.0006259,0.3397,1gpw,C,Thermotoga maritima
rank0001_ca6_proteinbinders_3013_A,7dz2-assembly1_C,0.0001174,0.3394,7dz2,C,Sinorhizobium fredii CCBAU 83666
rank0001_ca6_proteinbinders_3013_A,3p5y-assembly1_B,0.0001784,0.3394,3p5y,B,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,4lw7-assembly1_B,2.481e-05,0.339,4lw7,B,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,3npu-assembly1_A,0.0009512,0.3383,3npu,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,7khs-assembly1_B,0.008686,0.3381,7khs,B,Oceanicola granulosus HTCC2516
rank0001_ca6_proteinbinders_3013_A,1ur4-assembly2_B,1.449e-05,0.3378,1ur4,B,Bacillus licheniformis
rank0001_ca6_proteinbinders_3013_A,1o66-assembly1_D,0.01243,0.3374,1o66,D,Neisseria meningitidis serogroup B
rank0001_ca6_proteinbinders_3013_A,2cks-assembly1_A,0.002196,0.3373,2cks,A,Thermobifida fusca
rank0001_ca6_proteinbinders_3013_A,3pzt-assembly2_B,0.01039,0.3372,3pzt,B,Bacillus subtilis subsp. subtilis str. 168
rank0001_ca6_proteinbinders_3013_A,3npv-assembly2_A,0.0006259,0.3371,3npv,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,1h5y-assembly1_A,0.0009512,0.3367,1h5y,A,Pyrobaculum aerophilum
rank0001_ca6_proteinbinders_3013_A,3zr4-assembly2_C,0.001072,0.3366,3zr4,C,Thermotoga maritima
rank0001_ca6_proteinbinders_3013_A,3n9s-assembly1_B,3.451e-06,0.3365,3n9s,B,Helicobacter pylori 51
rank0001_ca6_proteinbinders_3013_A,3nq2-assembly1_A,0.002069,0.3355,3nq2,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,3b8i-assembly1_D,0.003761,0.3355,3b8i,D,Pseudomonas aeruginosa PAO1
rank0001_ca6_proteinbinders_3013_A,1xi3-assembly1_B,8.98e-06,0.3349,1xi3,B,Pyrococcus furiosus
rank0001_ca6_proteinbinders_3013_A,8for-assembly5_E,0.01103,0.3345,8for,E,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,1los-assembly1_B,0.000168,0.3343,1los,B,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,8gk8-assembly1_D,0.001629,0.3341,8gk8,D,Staphylococcus aureus
rank0001_ca6_proteinbinders_3013_A,4m24-assembly1_A,0.003543,0.3339,4m24,A,uncultured bacterium
rank0001_ca6_proteinbinders_3013_A,6w6a-assembly1_B,0.0001246,0.3333,6w6a,B,Stenotrophomonas maltophilia K279a
rank0001_ca6_proteinbinders_3013_A,7qc7-assembly1_A,0.000896,0.3333,7qc7,A,Thermotoga maritima MSB8
rank0001_ca6_proteinbinders_3013_A,4nzj-assembly1_A,0.008686,0.3331,4nzj,A,Bacteroides fragilis NCTC 9343
rank0001_ca6_proteinbinders_3013_A,5diy-assembly2_B,0.003993,0.3326,5diy,B,Thermobaculum terrenum
rank0001_ca6_proteinbinders_3013_A,4ad0-assembly2_B,0.1442,0.3325,4ad0,B,Bacteroides thetaiotaomicron VPI-5482
rank0001_ca6_proteinbinders_3013_A,1wky-assembly1_A,0.001445,0.3324,1wky,A,Bacillus sp. JAMB-602
rank0001_ca6_proteinbinders_3013_A,7qc6-assembly1_A,0.001208,0.3324,7qc6,A,Thermotoga maritima MSB8
rank0001_ca6_proteinbinders_3013_A,3q2d-assembly1_A,0.002475,0.3324,3q2d,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,4ur9-assembly2_B,0.0005232,0.332,4ur9,B,Bacteroides thetaiotaomicron
rank0001_ca6_proteinbinders_3013_A,5dmy-assembly1_C,0.1135,0.3318,5dmy,C,Bifidobacterium bifidum
rank0001_ca6_proteinbinders_3013_A,3nqv-assembly1_A,0.003543,0.3317,3nqv,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,7oms-assembly1_AAA,0.04631,0.3316,7oms,AAA,Bacteroides salyersiae
rank0001_ca6_proteinbinders_3013_A,7qc9-assembly1_A,0.002069,0.3315,7qc9,A,Thermotoga maritima MSB8
rank0001_ca6_proteinbinders_3013_A,8tnf-assembly1_C,0.0411,0.3315,8tnf,C,Paracoccus onubensis
rank0001_ca6_proteinbinders_3013_A,5diy-assembly1_A,0.006442,0.3314,5diy,A,Thermobaculum terrenum
rank0001_ca6_proteinbinders_3013_A,8edt-assembly1_A,0.128,0.3312,8edt,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,5h91-assembly1_B,5.678,0.3311,5h91,B,Levilactobacillus brevis
rank0001_ca6_proteinbinders_3013_A,5wrp-assembly1_C,0.0002405,0.3306,5wrp,C,Mycobacterium tuberculosis H37Rv
rank0001_ca6_proteinbinders_3013_A,3m0z-assembly1_B,0.005072,0.3305,3m0z,B,Klebsiella pneumoniae subsp. pneumoniae MGH 78578
rank0001_ca6_proteinbinders_3013_A,3zr4-assembly3_E,0.007707,0.3302,3zr4,E,Thermotoga maritima
rank0001_ca6_proteinbinders_3013_A,5ud1-assembly1_B,1.449e-05,0.3299,5ud1,B,Helicobacter pylori 26695
rank0001_ca6_proteinbinders_3013_A,5exi-assembly1_A,0.04631,0.3298,5exi,A,Mycobacterium tuberculosis H37Rv
rank0001_ca6_proteinbinders_3013_A,2zz4-assembly1_B,0.0003443,0.3294,2zz4,B,Methanothermobacter thermautotrophicus
rank0001_ca6_proteinbinders_3013_A,2whm-assembly1_A,0.01579,0.3291,2whm,A,Cellvibrio japonicus
rank0001_ca6_proteinbinders_3013_A,7p76-assembly7_G,0.01676,0.3291,7p76,G,Escherichia coli 909945-2
rank0001_ca6_proteinbinders_3013_A,7ezo-assembly1_A,0.01039,0.3289,7ezo,A,Bacillus sp. (in: firmicutes)
rank0001_ca6_proteinbinders_3013_A,5nez-assembly1_B,0.000388,0.3286,5nez,B,Methanothermobacter thermautotrophicus str. Delta H
rank0001_ca6_proteinbinders_3013_A,3w9z-assembly1_A,0.007707,0.3285,3w9z,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,5fl0-assembly1_A,0.0001246,0.3283,5fl0,A,Bacteroides thetaiotaomicron
rank0001_ca6_proteinbinders_3013_A,3q94-assembly1_B,4.939e-06,0.3282,3q94,B,Bacillus anthracis str. 'Ames Ancestor'
rank0001_ca6_proteinbinders_3013_A,8gk8-assembly1_B,0.000795,0.3281,8gk8,B,Staphylococcus aureus
rank0001_ca6_proteinbinders_3013_A,6y2k-assembly1_A,1.317,0.3276,6y2k,A,Marinomonas sp. ef1
rank0001_ca6_proteinbinders_3013_A,3b8i-assembly1_C,0.0006645,0.3275,3b8i,C,Pseudomonas aeruginosa PAO1
rank0001_ca6_proteinbinders_3013_A,1rvg-assembly2_D,0.0001174,0.3272,1rvg,D,Thermus aquaticus
rank0001_ca6_proteinbinders_3013_A,4ad0-assembly4_D,0.3137,0.3269,4ad0,D,Bacteroides thetaiotaomicron VPI-5482
rank0001_ca6_proteinbinders_3013_A,3o1n-assembly1_A,0.002069,0.3267,3o1n,A,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
rank0001_ca6_proteinbinders_3013_A,1nq6-assembly1_A,0.005384,0.3265,1nq6,A,Streptomyces halstedii
rank0001_ca6_proteinbinders_3013_A,5ud0-assembly1_A,1.285e-05,0.3261,5ud0,A,Helicobacter pylori 26695
rank0001_ca6_proteinbinders_3013_A,3fn9-assembly2_C,0.1135,0.3261,3fn9,C,Bacteroides fragilis NCTC 9343
rank0001_ca6_proteinbinders_3013_A,2dzb-assembly1_B,0.0004373,0.326,2dzb,B,Thermus thermophilus
rank0001_ca6_proteinbinders_3013_A,8ofw-assembly1_A,0.001949,0.3258,8ofw,A,Mycobacterium tuberculosis
rank0001_ca6_proteinbinders_3013_A,1clx-assembly1_A,0.01401,0.3256,1clx,A,Cellvibrio japonicus
rank0001_ca6_proteinbinders_3013_A,2ww5-assembly1_A,0.02006,0.3254,2ww5,A,Streptococcus pneumoniae R6
rank0001_ca6_proteinbinders_3013_A,7p6h-assembly2_B,0.004239,0.3253,7p6h,B,uncultured bacterium
rank0001_ca6_proteinbinders_3013_A,4mim-assembly1_D,0.0005232,0.3252,4mim,D,Rhizobium etli CFN 42
rank0001_ca6_proteinbinders_3013_A,4yng-assembly2_G,0.1205,0.3251,4yng,G,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,8eq0-assembly1_B,0.1531,0.325,8eq0,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,5m0k-assembly2_B,0.0411,0.3245,5m0k,B,Cellulomonas flavigena
rank0001_ca6_proteinbinders_3013_A,7t5k-assembly1_A,0.001282,0.3243,7t5k,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,3npw-assembly1_A,0.03236,0.3238,3npw,A,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,7nc7-assembly1_A,2.139e-06,0.3237,7nc7,A,Bacillus methanolicus MGA3
rank0001_ca6_proteinbinders_3013_A,4izg-assembly1_A,0.006442,0.3234,4izg,A,Paracoccus denitrificans PD1222
rank0001_ca6_proteinbinders_3013_A,7p76-assembly12_L,0.006068,0.3231,7p76,L,Escherichia coli 909945-2
rank0001_ca6_proteinbinders_3013_A,4to8-assembly1_A,1.285e-05,0.323,4to8,A,Staphylococcus aureus
rank0001_ca6_proteinbinders_3013_A,3eeg-assembly1_A,0.0001784,0.3228,3eeg,A,Cytophaga hutchinsonii ATCC 33406
rank0001_ca6_proteinbinders_3013_A,5gk7-assembly1_A,0.005384,0.3227,5gk7,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,6day-assembly1_A,0.0001404,0.3221,6day,A,Xanthomonas albilineans GPE PC73
rank0001_ca6_proteinbinders_3013_A,2p10-assembly1_F,0.0002266,0.3221,2p10,F,Mesorhizobium japonicum MAFF 303099
rank0001_ca6_proteinbinders_3013_A,6z9h-assembly2_B,0.003338,0.322,6z9h,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,5gk5-assembly3_E,0.001729,0.3218,5gk5,E,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,3hbl-assembly1_D,0.0003443,0.3217,3hbl,D,Staphylococcus aureus subsp. aureus Mu50
rank0001_ca6_proteinbinders_3013_A,3og3-assembly1_A,0.01676,0.3215,3og3,A,Thermotoga maritima
rank0001_ca6_proteinbinders_3013_A,4h2h-assembly1_E,0.009221,0.3214,4h2h,E,Salipiger bermudensis HTCC2601
rank0001_ca6_proteinbinders_3013_A,4u0o-assembly1_B,0.04631,0.3212,4u0o,B,Thermosynechococcus vestitus BP-1
rank0001_ca6_proteinbinders_3013_A,4e8g-assembly1_A,0.003338,0.3209,4e8g,A,Paracoccus denitrificans PD1222
rank0001_ca6_proteinbinders_3013_A,1jcj-assembly2_B,0.008182,0.3209,1jcj,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,4gug-assembly1_B,0.005384,0.3207,4gug,B,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
rank0001_ca6_proteinbinders_3013_A,3npv-assembly1_B,0.002332,0.3206,3npv,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,8t0u-assembly2_G,0.001534,0.3206,8t0u,G,Pseudomonas fluorescens Pf0-1
rank0001_ca6_proteinbinders_3013_A,3bg5-assembly2_C,0.0005232,0.3201,3bg5,C,Staphylococcus aureus
rank0001_ca6_proteinbinders_3013_A,6wqw-assembly1_A,0.002332,0.3201,6wqw,A,Thermobacillus composti
rank0001_ca6_proteinbinders_3013_A,4ogz-assembly2_B,0.008686,0.3201,4ogz,B,Bacteroides fragilis NCTC 9343
rank0001_ca6_proteinbinders_3013_A,1dvj-assembly2_C,0.0005896,0.32,1dvj,C,Methanothermobacter thermautotrophicus
rank0001_ca6_proteinbinders_3013_A,3m6y-assembly1_D,0.001629,0.3196,3m6y,D,Bacillus cereus ATCC 14579
rank0001_ca6_proteinbinders_3013_A,6z9i-assembly2_B,0.006442,0.3194,6z9i,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,3wug-assembly1_A,0.008686,0.3194,3wug,A,Streptomyces sp.
rank0001_ca6_proteinbinders_3013_A,7t1c-assembly1_A,0.002961,0.3193,7t1c,A,Sulfurivirga caldicuralii
rank0001_ca6_proteinbinders_3013_A,7psh-assembly1_A,1.285e-05,0.3192,7psh,A,Acidobacterium capsulatum ATCC 51196
rank0001_ca6_proteinbinders_3013_A,4w5z-assembly1_A,0.01243,0.3192,4w5z,A,Moritella marina
rank0001_ca6_proteinbinders_3013_A,8eu4-assembly2_F,0.1358,0.3192,8eu4,F,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,3b0u-assembly2_Y,0.01103,0.3189,3b0u,Y,Thermus thermophilus HB8
rank0001_ca6_proteinbinders_3013_A,8eu4-assembly2_E,0.3984,0.3188,8eu4,E,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,5c2g-assembly1_B,0.024,0.3185,5c2g,B,Gallionella
rank0001_ca6_proteinbinders_3013_A,5ucp-assembly1_B,0.0001491,0.3184,5ucp,B,Helicobacter pylori 26695
rank0001_ca6_proteinbinders_3013_A,5g2w-assembly1_A,0.03236,0.3181,5g2w,A,Salmonella enterica
rank0001_ca6_proteinbinders_3013_A,5hmd-assembly1_A,0.07038,0.3181,5hmd,A,Paenarthrobacter aurescens
rank0001_ca6_proteinbinders_3013_A,3mux-assembly1_B,0.003761,0.3176,3mux,B,Bacillus anthracis str. Sterne
rank0001_ca6_proteinbinders_3013_A,4qsl-assembly2_D,0.003144,0.3176,4qsl,D,Listeria monocytogenes
rank0001_ca6_proteinbinders_3013_A,2nxi-assembly3_J,0.01103,0.3176,2nxi,J,Aquifex aeolicus
rank0001_ca6_proteinbinders_3013_A,4xzb-assembly1_A,0.002628,0.3175,4xzb,A,Geobacillus sp. 70PC53
rank0001_ca6_proteinbinders_3013_A,4o8r-assembly5_I,0.000388,0.3172,4o8r,I,Methanothermobacter thermautotrophicus
rank0001_ca6_proteinbinders_3013_A,7sbj-assembly1_C,0.04631,0.3168,7sbj,C,Stenotrophomonas maltophilia K279a
rank0001_ca6_proteinbinders_3013_A,1zji-assembly1_A,0.002069,0.3166,1zji,A,Aquifex aeolicus
rank0001_ca6_proteinbinders_3013_A,5emu-assembly1_A,0.003144,0.3166,5emu,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,1e0u-assembly1_D,0.1531,0.3166,1e0u,D,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,8tnf-assembly1_F,0.003993,0.3164,8tnf,F,Paracoccus onubensis
rank0001_ca6_proteinbinders_3013_A,1p1x-assembly2_B,0.01676,0.3164,1p1x,B,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,5zfs-assembly1_B,0.03646,0.3164,5zfs,B,Arthrobacter globiformis
rank0001_ca6_proteinbinders_3013_A,3n9s-assembly1_A,1.365e-05,0.3163,3n9s,A,Helicobacter pylori 51
rank0001_ca6_proteinbinders_3013_A,1rvg-assembly1_A,5.397e-05,0.3163,1rvg,A,Thermus aquaticus
rank0001_ca6_proteinbinders_3013_A,8eq1-assembly1_C,0.1442,0.3163,8eq1,C,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,4yng-assembly2_F,0.01103,0.3159,4yng,F,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,4ad3-assembly4_D,2.698,0.3158,4ad3,D,Bacteroides xylanisolvens XB1A
rank0001_ca6_proteinbinders_3013_A,2epl-assembly1_X,0.0004373,0.3155,2epl,X,Streptococcus gordonii
rank0001_ca6_proteinbinders_3013_A,6fwq-assembly1_A,4.353,0.3155,6fwq,A,Bacteroides xylanisolvens XB1A
rank0001_ca6_proteinbinders_3013_A,4ph6-assembly1_B,0.1135,0.3154,4ph6,B,Enterococcus faecalis V583
rank0001_ca6_proteinbinders_3013_A,3bg5-assembly3_D,0.000795,0.3153,3bg5,D,Staphylococcus aureus
rank0001_ca6_proteinbinders_3013_A,3nzr-assembly2_D,0.01171,0.3153,3nzr,D,Aliivibrio fischeri ES114
rank0001_ca6_proteinbinders_3013_A,1v0m-assembly1_A,0.0045,0.3149,1v0m,A,Streptomyces lividans
rank0001_ca6_proteinbinders_3013_A,5gk3-assembly1_A,0.001629,0.3148,5gk3,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,1aw1-assembly1_A,0.0002134,0.3146,1aw1,A,Moritella marina
rank0001_ca6_proteinbinders_3013_A,5ud4-assembly1_B,1.538e-05,0.3144,5ud4,B,Helicobacter pylori 26695
rank0001_ca6_proteinbinders_3013_A,5gk5-assembly1_B,0.009221,0.3144,5gk5,B,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,5a6b-assembly1_B,0.001445,0.3139,5a6b,B,Streptococcus pneumoniae TIGR4
rank0001_ca6_proteinbinders_3013_A,5wsa-assembly1_A,0.2064,0.3139,5wsa,A,Mycobacterium tuberculosis H37Rv
rank0001_ca6_proteinbinders_3013_A,5gk8-assembly1_A,0.000896,0.3138,5gk8,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,3t07-assembly1_C,0.1442,0.3138,3t07,C,Staphylococcus aureus subsp. aureus MRSA252
rank0001_ca6_proteinbinders_3013_A,5vjf-assembly1_B,2.634e-05,0.3137,5vjf,B,Helicobacter pylori 26695
rank0001_ca6_proteinbinders_3013_A,1rv8-assembly1_A,3.551e-05,0.3136,1rv8,A,Thermus aquaticus
rank0001_ca6_proteinbinders_3013_A,4yng-assembly1_D,0.03048,0.3136,4yng,D,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,2fb6-assembly1_A,2.124,0.3135,2fb6,A,Bacteroides thetaiotaomicron VPI-5482
rank0001_ca6_proteinbinders_3013_A,2nxg-assembly1_B,0.0009512,0.3133,2nxg,B,Aquifex aeolicus
rank0001_ca6_proteinbinders_3013_A,2epn-assembly1_B,0.0003443,0.3132,2epn,B,Streptococcus gordonii
rank0001_ca6_proteinbinders_3013_A,5ahw-assembly2_D,1.101,0.313,5ahw,D,Mycolicibacterium smegmatis MC2 155
rank0001_ca6_proteinbinders_3013_A,5vje-assembly1_A,0.005384,0.3128,5vje,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,1b57-assembly1_B,0.0007489,0.3121,1b57,B,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,1w3h-assembly2_B,0.005716,0.3121,1w3h,B,Cellvibrio japonicus
rank0001_ca6_proteinbinders_3013_A,3mqt-assembly1_E,0.01579,0.3119,3mqt,E,Shewanella pealeana ATCC 700345
rank0001_ca6_proteinbinders_3013_A,4rtb-assembly1_A,0.00726,0.3116,4rtb,A,Carboxydothermus hydrogenoformans Z-2901
rank0001_ca6_proteinbinders_3013_A,8q5a-assembly1_A,4.249e-05,0.3115,8q5a,A,Hafnia paralvei
rank0001_ca6_proteinbinders_3013_A,5vjd-assembly1_B,0.0045,0.3114,5vjd,B,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,4yng-assembly1_C,0.2955,0.3114,4yng,C,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,5mc8-assembly1_A,2.542,0.3113,5mc8,A,Bacteroides xylanisolvens XB1A
rank0001_ca6_proteinbinders_3013_A,3n73-assembly2_B,0.008686,0.3109,3n73,B,Bacillus cereus ATCC 10987
rank0001_ca6_proteinbinders_3013_A,5gqd-assembly1_B,0.03048,0.3105,5gqd,B,Streptomyces olivaceoviridis
rank0001_ca6_proteinbinders_3013_A,3lsc-assembly1_B,0.1832,0.3105,3lsc,B,Paenarthrobacter aurescens
rank0001_ca6_proteinbinders_3013_A,4qsl-assembly2_C,0.003338,0.3104,4qsl,C,Listeria monocytogenes
rank0001_ca6_proteinbinders_3013_A,7u5y-assembly1_F,0.0411,0.3103,7u5y,F,Pseudomonas aeruginosa PAO1
rank0001_ca6_proteinbinders_3013_A,3vny-assembly1_A,6.854e-05,0.3099,3vny,A,Acidobacterium capsulatum ATCC 51196
rank0001_ca6_proteinbinders_3013_A,4mva-assembly1_B,0.0002405,0.3098,4mva,B,Escherichia coli BW2952
rank0001_ca6_proteinbinders_3013_A,4yng-assembly2_H,0.01889,0.3091,4yng,H,Escherichia coli
rank0001_ca6_proteinbinders_3013_A,1lrq-assembly1_B,0.006839,0.309,1lrq,B,Aquifex aeolicus
rank0001_ca6_proteinbinders_3013_A,4to8-assembly1_B,1.141e-05,0.3088,4to8,B,Staphylococcus aureus
rank0001_ca6_proteinbinders_3013_A,2bdq-assembly1_B,0.02006,0.3088,2bdq,B,Streptococcus agalactiae
rank0001_ca6_proteinbinders_3013_A,2wwc-assembly1_A,0.01401,0.3086,2wwc,A,Streptococcus pneumoniae R6
rank0001_ca6_proteinbinders_3013_A,6fwm-assembly1_A,2.001,0.3083,6fwm,A,Bacteroides xylanisolvens XB1A
rank0001_ca6_proteinbinders_3013_A,2bod-assembly1_X,0.2064,0.3081,2bod,X,Thermobifida fusca
rank0001_ca6_proteinbinders_3013_A,3odm-assembly1_D,0.0007054,0.3078,3odm,D,Clostridium perfringens
rank0001_ca6_proteinbinders_3013_A,4jx4-assembly1_C,0.0005554,0.3076,4jx4,C,Rhizobium etli CFN 42
rank0001_ca6_proteinbinders_3013_A,5gk4-assembly1_A,0.003144,0.3076,5gk4,A,Escherichia coli K-12
rank0001_ca6_proteinbinders_3013_A,8q57-assembly1_A,0.0001404,0.3075,8q57,A,Yersinia aldovae
rank0001_ca6_proteinbinders_3013_A,5ud2-assembly1_B,0.0001246,0.3069,5ud2,B,Helicobacter pylori 26695
rank0001_ca6_proteinbinders_3013_A,2e28-assembly1_A,0.08939,0.3069,2e28,A,Geobacillus stearothermophilus
rank0001_ca6_proteinbinders_3013_A,6fwg-assembly1_A,7.454,0.3069,6fwg,A,Bacteroides xylanisolvens XB1A
rank0001_ca6_proteinbinders_3013_A,2yr1-assembly1_B,0.002196,0.3066,2yr1,B,Geobacillus kaustophilus HTA426
rank0001_ca6_proteinbinders_3013_A,2h9a-assembly1_B,0.001361,0.3065,2h9a,B,Carboxydothermus hydrogenoformans
