sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_016455105.1_ASM1645510v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP066706.1_586	CP066706.1_589	CP066706.1_586,CP066706.1_587,CP066706.1_588,CP066706.1_589	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016455245.1_ASM1645524v1_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP066708.1_604	CP066708.1_607	CP066708.1_604,CP066708.1_605,CP066708.1_606,CP066708.1_607	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016598895.1_ASM1659889v1_genomic_CAS_Class2-Subtype-II-A_10	CasFinder	CAS_Class2-Subtype-II-A	CP066885.1_600	CP066885.1_603	CP066885.1_600,CP066885.1_601,CP066885.1_602,CP066885.1_603	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_016598915.1_ASM1659891v1_genomic_CAS_Class2-Subtype-II-A_10	CasFinder	CAS_Class2-Subtype-II-A	CP066884.1_593	CP066884.1_596	CP066884.1_593,CP066884.1_594,CP066884.1_595,CP066884.1_596	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_018323945.1_ASM1832394v1_genomic_CAS_Class2-Subtype-II-C_6	CasFinder	CAS_Class2-Subtype-II-C	AP024589.1_2115	AP024589.1_2118	AP024589.1_2115,AP024589.1_2116,AP024589.1_2117,AP024589.1_2118	4	cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_3,cas9_II-A_II-B_II-C_1
GCA_019996945.2_ASM1999694v2_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP083183.2_630	CP083183.2_634	CP083183.2_630,CP083183.2_632,CP083183.2_633,CP083183.2_634	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019997045.2_ASM1999704v2_genomic_CAS_Class2-Subtype-II-A_6	CasFinder	CAS_Class2-Subtype-II-A	CP083186.2_695	CP083186.2_699	CP083186.2_695,CP083186.2_696,CP083186.2_697,CP083186.2_698,CP083186.2_699	5	cas9_II-A_II-B_II-C_1,cas9_II-A_II-B_II-C_3,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019997225.2_ASM1999722v2_genomic_CAS_Class2-Subtype-II-A_11	CasFinder	CAS_Class2-Subtype-II-A	CP083187.2_627	CP083187.2_629	CP083187.2_627,CP083187.2_628,CP083187.2_629	3	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,csn2_II-A_13
GCA_019997445.2_ASM1999744v2_genomic_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	CP083217.2_582	CP083217.2_585	CP083217.2_582,CP083217.2_583,CP083217.2_584,CP083217.2_585	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019997885.2_ASM1999788v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP083202.2_652	CP083202.2_658	CP083202.2_652,CP083202.2_653,CP083202.2_654,CP083202.2_655,CP083202.2_658	5	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13,RT_I_II_III_IV_V_VI_1
GCA_019997945.2_ASM1999794v2_genomic_CAS_Class2-Subtype-II-A_11	CasFinder	CAS_Class2-Subtype-II-A	CP083188.2_632	CP083188.2_635	CP083188.2_632,CP083188.2_633,CP083188.2_634,CP083188.2_635	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998025.2_ASM1999802v2_genomic_CAS_Class2-Subtype-II-A_11	CasFinder	CAS_Class2-Subtype-II-A	CP083189.2_615	CP083189.2_617	CP083189.2_615,CP083189.2_616,CP083189.2_617	3	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,csn2_II-A_13
GCA_019998045.2_ASM1999804v2_genomic_CAS_Class2-Subtype-II-A_11	CasFinder	CAS_Class2-Subtype-II-A	CP083190.2_633	CP083190.2_635	CP083190.2_633,CP083190.2_634,CP083190.2_635	3	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,csn2_II-A_13
GCA_019998285.2_ASM1999828v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP083185.2_680	CP083185.2_683	CP083185.2_680,CP083185.2_681,CP083185.2_682,CP083185.2_683	4	cas9_II-A_II-B_II-C_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998365.3_ASM1999836v3_genomic_CAS_Class2-Subtype-II-A_12	CasFinder	CAS_Class2-Subtype-II-A	CP083203.2_742	CP083203.2_745	CP083203.2_742,CP083203.2_743,CP083203.2_744,CP083203.2_745	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998525.2_ASM1999852v2_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP083213.2_566	CP083213.2_569	CP083213.2_566,CP083213.2_567,CP083213.2_568,CP083213.2_569	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998745.2_ASM1999874v2_genomic_CAS_Class2-Subtype-II-A_11	CasFinder	CAS_Class2-Subtype-II-A	CP083211.2_621	CP083211.2_625	CP083211.2_621,CP083211.2_623,CP083211.2_624,CP083211.2_625	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998765.2_ASM1999876v2_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP083214.2_568	CP083214.2_571	CP083214.2_568,CP083214.2_569,CP083214.2_570,CP083214.2_571	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998805.2_ASM1999880v2_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP083215.2_566	CP083215.2_569	CP083215.2_566,CP083215.2_567,CP083215.2_568,CP083215.2_569	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_019998825.2_ASM1999882v2_genomic_CAS_Class2-Subtype-II-A_5	CasFinder	CAS_Class2-Subtype-II-A	CP083216.2_565	CP083216.2_568	CP083216.2_565,CP083216.2_566,CP083216.2_567,CP083216.2_568	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_020685625.2_ASM2068562v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP098617.1_653	CP098617.1_659	CP098617.1_653,CP098617.1_654,CP098617.1_655,CP098617.1_656,CP098617.1_659	5	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13,RT_I_II_III_IV_V_VI_1
GCA_020685645.2_ASM2068564v2_genomic_CAS_Class2-Subtype-II-A_12	CasFinder	CAS_Class2-Subtype-II-A	CP098629.1_742	CP098629.1_745	CP098629.1_742,CP098629.1_743,CP098629.1_744,CP098629.1_745	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_020685685.2_ASM2068568v2_genomic_CAS_Class2-Subtype-II-A_12	CasFinder	CAS_Class2-Subtype-II-A	CP098634.1_671	CP098634.1_674	CP098634.1_671,CP098634.1_672,CP098634.1_673,CP098634.1_674	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_020685705.2_ASM2068570v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP098621.1_652	CP098621.1_658	CP098621.1_652,CP098621.1_653,CP098621.1_654,CP098621.1_655,CP098621.1_658	5	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13,RT_I_II_III_IV_V_VI_1
GCA_020685725.2_ASM2068572v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP098619.1_652	CP098619.1_658	CP098619.1_652,CP098619.1_653,CP098619.1_654,CP098619.1_655,CP098619.1_658	5	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13,RT_I_II_III_IV_V_VI_1
GCA_020685745.2_ASM2068574v2_genomic_CAS_Class2-Subtype-II-A_12	CasFinder	CAS_Class2-Subtype-II-A	CP098628.1_666	CP098628.1_670	CP098628.1_666,CP098628.1_667,CP098628.1_668,CP098628.1_670	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_020685765.2_ASM2068576v2_genomic_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	CP098613.1_653	CP098613.1_659	CP098613.1_653,CP098613.1_654,CP098613.1_655,CP098613.1_656,CP098613.1_659	5	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13,RT_I_II_III_IV_V_VI_1
GCA_020685785.2_ASM2068578v2_genomic_CAS_Class2-Subtype-II-A_8	CasFinder	CAS_Class2-Subtype-II-A	CP098623.1_651	CP098623.1_657	CP098623.1_651,CP098623.1_652,CP098623.1_653,CP098623.1_654,CP098623.1_657	5	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13,RT_I_II_III_IV_V_VI_1
GCA_020685805.2_ASM2068580v2_genomic_CAS_Class2-Subtype-II-A_12	CasFinder	CAS_Class2-Subtype-II-A	CP098625.1_744	CP098625.1_747	CP098625.1_744,CP098625.1_745,CP098625.1_746,CP098625.1_747	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
GCA_020685845.2_ASM2068584v2_genomic_CAS_Class2-Subtype-II-A_13	CasFinder	CAS_Class2-Subtype-II-A	CP098632.1_739	CP098632.1_742	CP098632.1_739,CP098632.1_740,CP098632.1_741,CP098632.1_742	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_13
